City,Year,Month,Average Temperature (celsius),Max Temperature (celsius),Min Temperature (celsius),Average Wind Speed (m/s),Total Precipitation (mm),Max Snow Depth (cm)
Львів,2010,2,2.1,7.4,-0.9,2.4,2.6,10.0
Львів,2010,3,3.0,17.7,-12.3,3.0,31.1,9.0
Львів,2010,4,9.2,22.6,-1.0,2.3,39.7,0.0
Львів,2010,5,14.7,23.3,7.1,2.0,221.8,0.0
Львів,2010,6,17.9,31.7,7.1,2.4,96.9,0.0
Львів,2010,7,20.5,30.7,11.2,1.7,78.3,0.0
Львів,2010,8,19.7,32.1,6.5,1.7,125.1,0.0
Львів,2010,9,12.3,21.5,3.4,2.3,65.0,0.0
Львів,2010,10,5.5,16.9,-4.4,2.3,26.1,0.0
Львів,2010,11,7.0,20.6,-10.6,2.9,41.9,2.0
Львів,2010,12,-3.7,10.0,-16.8,2.6,94.3,15.0
Львів,2011,1,-1.6,7.2,-18.7,2.0,55.4,14.0
Львів,2011,2,-4.0,10.0,-15.3,3.4,44.4,18.0
Львів,2011,3,1.8,17.9,-16.8,2.7,21.4,10.0
Львів,2011,4,10.0,21.5,-0.1,3.0,45.5,0.0
Львів,2011,5,13.9,27.7,-1.6,1.8,43.5,0.0
Львів,2011,6,18.2,29.5,8.6,2.5,67.5,0.0
Львів,2011,7,18.7,31.1,9.7,2.1,190.8,0.0
Львів,2011,8,18.9,28.6,7.9,2.1,46.0,0.0
Львів,2011,9,15.2,28.5,3.8,2.3,18.4,0.0
Львів,2011,10,7.5,21.9,-1.9,3.3,23.0,0.0
Львів,2011,11,2.2,14.2,-6.5,3.1,0.8,1.0
Львів,2011,12,1.6,12.2,-10.1,3.4,63.6,8.0
Львів,2012,1,-2.5,7.4,-19.7,3.9,61.1,21.0
Львів,2012,2,-9.0,5.0,-28.1,3.5,57.5,25.0
Львів,2012,3,4.0,17.9,-8.6,4.7,29.9,3.0
Львів,2012,4,9.7,28.3,-4.3,3.5,56.7,0.7
Львів,2012,5,15.2,29.0,5.0,2.9,69.5,0.0
Львів,2012,6,18.0,31.2,7.2,3.0,91.0,0.0
Львів,2012,7,21.5,32.5,11.0,2.8,60.9,0.0
Львів,2012,8,18.8,34.3,7.1,2.6,77.2,0.0
Львів,2012,9,15.0,27.5,2.4,2.7,40.6,0.0
Львів,2012,10,8.9,22.9,-1.5,2.4,54.4,0.7
Львів,2012,11,5.2,16.5,-3.8,2.7,26.8,0.0
Львів,2012,12,-3.9,7.5,-14.3,2.1,54.0,16.0
Львів,2013,1,-3.2,6.3,-14.6,2.2,76.2,12.0
Львів,2013,2,-0.9,5.3,-11.6,3.1,49.8,10.0
Львів,2013,3,-1.6,13.0,-18.3,3.1,140.9,29.0
Львів,2013,4,9.6,27.6,-1.5,2.8,31.3,3.0
Львів,2013,5,15.6,26.6,6.4,2.5,116.5,0.0
Львів,2013,6,18.5,30.1,7.5,1.7,140.8,0.0
Львів,2013,7,18.6,33.2,8.8,2.0,46.9,0.0
Львів,2013,8,18.9,33.0,7.5,1.8,40.4,0.0
Львів,2013,9,11.6,22.5,1.5,2.4,83.7,0.0
Львів,2013,10,10.1,23.2,-2.6,1.8,17.3,0.0
Львів,2013,11,6.0,17.0,-4.8,2.9,37.6,0.8
Львів,2013,12,0.2,10.8,-7.6,3.0,14.3,3.0
Львів,2014,1,-2.4,8.4,-16.7,3.3,66.8,10.0
Львів,2014,2,0.7,9.4,-15.2,2.5,34.6,5.0
Львів,2014,3,6.0,20.6,-3.0,2.8,42.5,2.0
Львів,2014,4,9.9,22.0,-0.4,2.2,50.8,0.0
Львів,2014,5,13.9,27.2,-0.8,2.0,142.4,0.0
Львів,2014,6,16.2,27.8,6.3,1.9,76.7,0.0
Львів,2014,7,20.6,29.9,8.3,2.0,80.4,0.0
Львів,2014,8,18.0,34.4,6.4,1.7,98.8,0.0
Львів,2014,9,14.9,25.6,1.2,1.9,51.0,0.0
Львів,2014,10,9.5,24.9,-5.0,2.5,58.9,0.0
Львів,2014,11,4.1,20.9,-6.6,2.5,12.1,0.8
Львів,2014,12,0.1,10.0,-18.5,2.8,59.2,8.0
Львів,2016,1,-3.8,8.5,-17.4,2.5,53.8,8.0
Львів,2016,2,3.4,14.4,-7.3,3.3,42.2,1.0
Львів,2016,3,3.9,15.1,-6.2,2.1,37.3,0.7
Львів,2016,4,10.1,23.8,-0.8,2.4,65.1,0.0
Львів,2016,5,14.3,26.7,0.7,1.8,68.8,0.0
Львів,2016,6,18.6,31.4,3.9,1.9,115.6,0.0
Львів,2016,7,19.2,31.0,7.2,2.1,47.4,0.0
Львів,2016,8,18.1,30.3,6.9,1.5,32.8,0.0
Львів,2016,9,15.4,29.2,5.5,1.3,39.3,0.0
Львів,2016,10,6.6,22.2,-1.7,3.1,178.3,0.0
Львів,2016,11,1.9,11.3,-12.2,3.1,109.2,21.0
Львів,2016,12,-1.4,6.8,-10.6,3.1,75.6,18.0
Львів,2017,1,-6.4,2.4,-22.0,2.6,27.7,19.0
Львів,2017,2,-1.1,14.3,-13.6,2.9,46.7,17.0
Львів,2017,3,5.6,19.4,-4.1,2.6,38.1,0.7
Львів,2017,4,8.1,22.5,-4.0,2.8,48.7,0.0
Львів,2017,5,13.7,25.1,-1.2,1.9,80.5,0.0
Львів,2017,6,18.1,29.8,6.5,3.2,31.4,0.0
Львів,2017,7,18.4,30.8,6.9,2.2,74.5,0.0
Львів,2017,8,19.9,32.8,7.3,1.8,40.8,0.0
Львів,2017,9,14.1,26.4,5.4,2.4,138.3,0.0
Львів,2017,10,8.9,21.3,-0.1,3.3,61.0,0.0
Львів,2017,11,3.0,12.5,-5.1,2.4,64.4,2.0
Львів,2017,12,1.3,12.7,-5.9,3.0,108.2,17.0
Львів,2018,1,-0.5,9.9,-12.8,2.9,22.3,9.0
Львів,2018,2,-4.1,9.0,-20.3,1.6,61.2,19.0
Львів,2018,3,-0.7,14.2,-21.5,1.9,48.0,15.0
Львів,2018,4,13.5,26.6,-3.0,2.7,24.0,0.0
Львів,2018,5,17.0,27.8,5.8,2.3,51.3,0.0
Львів,2018,6,18.3,29.4,8.5,1.8,153.4,0.0
Львів,2018,7,19.1,27.5,9.8,1.9,123.5,0.0
Львів,2018,8,19.8,29.4,9.5,1.3,77.5,0.0
Львів,2018,9,14.9,26.6,0.1,1.6,76.2,0.0
Львів,2018,10,10.2,22.1,-0.6,2.2,65.9,0.0
Львів,2018,11,3.3,18.0,-12.5,2.5,33.0,3.0
Львів,2018,12,-0.3,7.7,-13.9,3.0,82.8,18.0
Львів,2019,1,-3.5,5.3,-15.3,2.9,62.7,13.0
Львів,2019,2,1.6,12.3,-8.1,3.1,22.8,7.0
Львів,2019,3,4.8,17.6,-7.9,3.3,25.4,1.0
Львів,2019,4,10.0,25.2,-2.3,3.2,36.6,0.0
Львів,2019,5,13.1,25.2,-0.4,2.4,161.4,0.0
Львів,2019,6,21.1,30.9,9.3,2.7,41.4,0.0
Львів,2019,7,18.2,31.8,5.6,1.8,73.8,0.0
Львів,2019,8,19.7,30.4,8.3,1.5,101.6,0.0
Львів,2019,9,14.3,28.8,1.0,2.1,50.4,0.0
Львів,2019,10,10.3,24.1,-2.8,1.7,29.0,0.0
Львів,2019,11,6.3,16.2,-5.2,3.4,43.3,0.0
Львів,2019,12,2.4,15.6,-9.9,3.0,51.9,5.0
Львів,2020,1,0.6,9.5,-8.3,2.7,33.0,3.0
Львів,2020,2,2.3,12.3,-11.5,3.5,81.3,3.0
Львів,2020,3,4.6,17.1,-8.5,2.6,36.2,3.0
Львів,2020,4,8.7,23.1,-5.9,2.4,7.3,0.7
Львів,2020,5,10.8,25.8,-1.5,2.6,148.4,0.0
Львів,2020,6,18.4,29.5,4.1,2.2,140.3,0.0
Львів,2020,7,18.8,29.6,7.2,1.7,80.9,0.0
Львів,2020,8,20.0,31.9,9.7,1.9,39.1,0.0
Львів,2020,9,15.1,28.6,2.8,1.6,101.2,0.0
Львів,2020,10,10.8,21.7,2.0,2.2,52.1,0.0
Львів,2020,11,3.9,13.1,-6.5,1.8,17.1,4.0
