City,Year,Month,Predicted Precipitation (mm)
Євпаторія,2025,1,-0.5764344037641833
Євпаторія,2025,2,-2.4197747969991084
Євпаторія,2025,3,-1.5897660213819589
Євпаторія,2025,4,-0.15571069059307013
Євпаторія,2025,5,-0.24725330858852615
Євпаторія,2025,6,-0.16040402802179357
Євпаторія,2025,7,-0.2767577010151023
Євпаторія,2025,8,-0.2695736651725958
Євпаторія,2025,9,-0.08451442294988476
Євпаторія,2025,10,-0.6424453015677297
Євпаторія,2025,11,-1.0060754941607075
Євпаторія,2025,12,-0.5764480989596196
Івано-Франківськ,2025,1,0.5446046075254076
Івано-Франківськ,2025,2,0.3157441044913813
Івано-Франківськ,2025,3,-0.046902387135198544
Івано-Франківськ,2025,4,0.574098656953549
Івано-Франківськ,2025,5,0.6134551505621791
Івано-Франківськ,2025,6,0.6332368167810103
Івано-Франківськ,2025,7,0.23885031026389084
Івано-Франківськ,2025,8,0.06743926902152773
Івано-Франківськ,2025,9,0.05020483311173742
Івано-Франківськ,2025,10,0.3070066725912736
Івано-Франківськ,2025,11,-0.28876221604931696
Івано-Франківськ,2025,12,0.5446046075254076
Ізмаїл,2025,1,-0.7019226659238909
Ізмаїл,2025,2,-0.17517392015725763
Ізмаїл,2025,3,0.24926043632669237
Ізмаїл,2025,4,-0.13882476201241364
Ізмаїл,2025,5,-0.1623364378538073
Ізмаїл,2025,6,-0.00358328512382422
Ізмаїл,2025,7,-0.501452971924749
Ізмаїл,2025,8,-0.2911983985128002
Ізмаїл,2025,9,-0.013772599753638553
Ізмаїл,2025,10,-0.6433681402376852
Ізмаїл,2025,11,-2.1110269660188594
Ізмаїл,2025,12,-0.7021627809188669
Ізюм,2025,1,0.5249998660263374
Ізюм,2025,2,0.465621459841588
Ізюм,2025,3,-0.11784493007568073
Ізюм,2025,4,-0.11431214685427202
Ізюм,2025,5,0.5919866565146675
Ізюм,2025,6,0.6031025590144364
Ізюм,2025,7,-0.3841187294207471
Ізюм,2025,8,-0.41204541130927486
Ізюм,2025,9,-0.06404254096065115
Ізюм,2025,10,-0.42558483760652455
Ізюм,2025,11,-0.5212229234670166
Ізюм,2025,12,0.5249998660263374
Ай-Петрі,2025,1,0.7478594187025276
Ай-Петрі,2025,2,0.2703718377011603
Ай-Петрі,2025,3,0.24659291444944453
Ай-Петрі,2025,4,0.27026826657725755
Ай-Петрі,2025,5,0.8256715181205834
Ай-Петрі,2025,6,0.8308365575856841
Ай-Петрі,2025,7,-0.28030790908188835
Ай-Петрі,2025,8,-0.3046470812828761
Ай-Петрі,2025,9,0.18853846617715417
Ай-Петрі,2025,10,0.3785737658841892
Ай-Петрі,2025,11,-0.1463416213344816
Ай-Петрі,2025,12,0.7466514311895394
Алушта,2025,1,-1.0049544535269692
Алушта,2025,2,-1.6922581577099856
Алушта,2025,3,-1.553630600083181
Алушта,2025,4,0.0059642956583654365
Алушта,2025,5,-0.45056821705688394
Алушта,2025,6,-0.12293849290124241
Алушта,2025,7,-0.44361667576714986
Алушта,2025,8,-0.31674461186840197
Алушта,2025,9,-0.14989093326107894
Алушта,2025,10,-0.5788044529235141
Алушта,2025,11,-0.581149802816348
Алушта,2025,12,-1.001010570999087
Асканія Нова,2025,1,0.28451035151102677
Асканія Нова,2025,2,-0.13634434150073982
Асканія Нова,2025,3,-0.2670888932500883
Асканія Нова,2025,4,-0.1119037659591915
Асканія Нова,2025,5,0.6410788282283476
Асканія Нова,2025,6,0.6572617169477247
Асканія Нова,2025,7,-0.5012778959788916
Асканія Нова,2025,8,-0.2341985235717873
Асканія Нова,2025,9,-0.09586640141971597
Асканія Нова,2025,10,-1.0469630454520746
Асканія Нова,2025,11,-2.4048089990206614
Асканія Нова,2025,12,0.28482199024341465
Баришівка,2025,1,-2.662328435708017
Баришівка,2025,2,-2.662328435708017
Баришівка,2025,3,-2.6392826715677575
Баришівка,2025,4,-2.641887078094349
Баришівка,2025,5,-2.6323814748366723
Баришівка,2025,6,-2.6323814748366723
