City,Year,Month,Predicted Precipitation (mm)
Євпаторія,2025,1,20.948900000000002
Євпаторія,2025,2,21.097600000000003
Євпаторія,2025,3,11.591000000000042
Євпаторія,2025,4,34.81139999999999
Євпаторія,2025,5,81.24780000000024
Євпаторія,2025,6,161.85517000000027
Євпаторія,2025,7,125.84026999999992
Євпаторія,2025,8,36.624299999999984
Євпаторія,2025,9,32.365199999999724
Євпаторія,2025,10,21.73170000000001
Євпаторія,2025,11,22.024300000000014
Євпаторія,2025,12,21.829500000000014
Івано-Франківськ,2025,1,96.07120000000033
Івано-Франківськ,2025,2,95.84910000000033
Івано-Франківськ,2025,3,28.896600000000028
Івано-Франківськ,2025,4,106.80490000000046
Івано-Франківськ,2025,5,110.3488600000003
Івано-Франківськ,2025,6,160.94177999999977
Івано-Франківськ,2025,7,134.86242000000001
Івано-Франківськ,2025,8,106.53830000000042
Івано-Франківськ,2025,9,90.04680000000019
Івано-Франківськ,2025,10,95.12360000000031
Івано-Франківськ,2025,11,96.40580000000034
Івано-Франківськ,2025,12,96.07520000000032
Ізмаїл,2025,1,65.93939999999974
Ізмаїл,2025,2,65.95109999999973 

Ізмаїл,2025,3,50.899499999999925
Ізмаїл,2025,4,83.20230000000015
Ізмаїл,2025,5,79.79585999999986
Ізмаїл,2025,6,142.09877999999958
Ізмаїл,2025,7,111.42231999999962
Ізмаїл,2025,8,82.76120000000022
Ізмаїл,2025,9,58.42650000000035
Ізмаїл,2025,10,63.797599999999754
Ізмаїл,2025,11,66.26549999999975
Ізмаїл,2025,12,66.23799999999976
Ізюм,2025,1,91.84030000000031
Ізюм,2025,2,91.68390000000028
Ізюм,2025,3,25.076700000000084
Ізюм,2025,4,102.27540000000047
Ізюм,2025,5,113.56020000000017
Ізюм,2025,6,163.70358
Ізюм,2025,7,137.79631999999998
Ізюм,2025,8,101.98620000000045
Ізюм,2025,9,86.51360000000017
Ізюм,2025,10,90.91000000000031
Ізюм,2025,11,92.11670000000031
Ізюм,2025,12,91.78710000000031
Ай-Петрі,2025,1,100.52380000000036
Ай-Петрі,2025,2,100.4879000000004
Ай-Петрі,2025,3,28.969300000000135
Ай-Петрі,2025,4,105.49770000000059
Ай-Петрі,2025,5,58.610799999999934
Ай-Петрі,2025,6,114.99756999999958
Ай-Петрі,2025,7,86.02546999999984
Ай-Петрі,2025,8,105.24050000000058
Ай-Петрі,2025,9,92.00930000000021
Ай-Петрі,2025,10,99.73540000000035
Ай-Петрі,2025,11,100.52180000000037
Ай-Петрі,2025,12,100.52180000000037
Алушта,2025,1,13.223899999999917
Алушта,2025,2,13.351499999999918
Алушта,2025,3,21.79509999999997
Алушта,2025,4,32.18819999999989
Алушта,2025,5,98.04833999999978
Алушта,2025,6,92.85103000000055
Алушта,2025,7,93.83412000000064
Алушта,2025,8,35.266699999999894
Алушта,2025,9,48.707600000000006
Алушта,2025,10,14.45629999999988
Алушта,2025,11,14.45479999999989
Алушта,2025,12,14.288199999999895
Асканія Нова,2025,1,64.51019999999966
Асканія Нова,2025,2,64.46519999999967
Асканія Нова,2025,3,35.06119999999991
Асканія Нова,2025,4,81.73530000000005
Асканія Нова,2025,5,65.21833999999988
Асканія Нова,2025,6,132.3893299999994
Асканія Нова,2025,7,98.08430999999972
Асканія Нова,2025,8,81.17460000000008
Асканія Нова,2025,9,62.520000000000266
Асканія Нова,2025,10,62.13389999999969
Асканія Нова,2025,11,64.62469999999963
Асканія Нова,2025,12,64.58049999999963
Баришівка,2025,1,0.0
Баришівка,2025,2,0.010199999999999999
Баришівка,2025,3,0.0
Баришівка,2025,4,0.056100000000000066
Баришівка,2025,5,89.69362000000059
Баришівка,2025,6,127.01064000000032
Баришівка,2025,7,107.86492000000047
Баришівка,2025,8,8.925100000000015
Баришівка,2025,9,26.04699999999994
Баришівка,2025,10,8.217300000000009
Баришівка,2025,11,0.0
Баришівка,2025,12,0.0
Бахмут,2025,1,92.29250000000027
Бахмут,2025,2,92.15030000000026
Бахмут,2025,3,21.893499999999932
Бахмут,2025,4,99.26640000000047
Бахмут,2025,5,113.55454000000015
Бахмут,2025,6,163.73602000000002
Бахмут,2025,7,137.94695999999996
Бахмут,2025,8,98.84850000000044
Бахмут,2025,9,81.06900000000002
Бахмут,2025,10,91.30640000000025
Бахмут,2025,11,92.53400000000026
Бахмут,2025,12,92.20440000000028
Баштанка,2025,1,7.2559666666666764
Баштанка,2025,2,7.277666666666677
Баштанка,2025,3,0.41990000000000005
Баштанка,2025,4,6.987883333333345
Баштанка,2025,5,79.91526000000047
Баштанка,2025,6,119.82742000000032
Баштанка,2025,7,99.72576000000042
Баштанка,2025,8,15.101683333333305
Баштанка,2025,9,51.08299999999979
Баштанка,2025,10,14.671966666666641
Баштанка,2025,11,7.256066666666676
Баштанка,2025,12,7.228766666666677
Берегове,2025,1,98.30680000000052
