City,Year,Month,Average Temperature (celsius),Max Temperature (celsius),Min Temperature (celsius),Average Wind Speed (m/s),Total Precipitation (mm),Max Snow Depth (cm),Season,Region
Вінниця,2010,9,13.7,24.6,6.3,3.3,48.4,0.0,Autumn,Center
Вінниця,2010,10,5.2,12.2,-3.1,3.5,37.7,0.0,Autumn,Center
Вінниця,2010,11,7.6,19.2,-9.3,4.4,63.2,2.0,Autumn,Center
Кропивницький,2010,9,15.5,27.4,4.8,3.6,85.3,0.0,Autumn,Center
Кропивницький,2010,10,6.2,18.6,-3.1,3.7,41.6,0.0,Autumn,Center
Кропивницький,2010,11,8.9,19.8,-5.8,4.6,31.7,0.0,Autumn,Center
Кривий Ріг,2010,9,16.3,28.0,6.7,4.0,71.9,0.0,Autumn,Center
Кривий Ріг,2010,10,6.5,19.1,-3.3,4.2,55.5,0.0,Autumn,Center
Кривий Ріг,2010,11,9.2,21.6,-4.3,4.6,35.2,0.0,Autumn,Center
Лубни,2010,9,15.0,26.3,5.0,1.5,93.7,0.0,Autumn,Center
Лубни,2010,10,5.8,14.5,-2.7,1.7,45.7,0.0,Autumn,Center
Лубни,2010,11,8.0,18.8,-9.8,2.5,66.9,4.0,Autumn,Center
Могилів-Подільський,2010,9,14.6,26.7,5.8,1.0,83.4,0.0,Autumn,Center
Могилів-Подільський,2010,11,8.9,22.6,-6.4,1.3,51.2,0.0,Autumn,Center
Полтава,2010,9,15.4,26.8,5.8,2.8,83.8,0.0,Autumn,Center
Полтава,2010,10,5.6,14.0,-2.8,3.0,56.1,0.0,Autumn,Center
Полтава,2010,11,8.3,18.8,-7.4,3.2,43.2,0.7,Autumn,Center
Світловодськ,2010,9,16.3,28.2,5.7,2.3,82.4,0.0,Autumn,Center
Світловодськ,2010,10,7.3,18.6,-1.7,2.6,113.4,0.0,Autumn,Center
Світловодськ,2010,11,9.5,20.3,-4.8,3.0,47.5,0.0,Autumn,Center
Умань,2010,9,14.5,26.0,3.6,1.2,47.3,0.0,Autumn,Center
Умань,2010,10,5.8,13.0,-4.0,1.1,42.3,0.0,Autumn,Center
Умань,2010,11,8.7,21.0,-6.8,1.6,51.3,5.0,Autumn,Center
Вінниця,2011,9,15.2,26.7,4.2,2.8,14.2,0.0,Autumn,Center
Вінниця,2011,10,6.8,23.8,-3.6,3.8,43.8,0.0,Autumn,Center
Вінниця,2011,11,1.6,11.4,-7.0,3.6,1.6,1.0,Autumn,Center
Кропивницький,2011,9,15.7,29.5,3.2,2.7,7.0,0.0,Autumn,Center
Кропивницький,2011,10,7.2,26.0,-5.0,3.0,21.7,0.0,Autumn,Center
Кропивницький,2011,11,1.2,10.9,-10.9,3.0,1.3,0.7,Autumn,Center
Кривий Ріг,2011,9,17.0,31.2,5.8,3.5,13.8,0.0,Autumn,Center
Кривий Ріг,2011,10,8.1,26.0,-4.5,3.9,7.0,0.0,Autumn,Center
Кривий Ріг,2011,11,1.2,11.6,-12.4,3.6,0.4,0.0,Autumn,Center
Лубни,2011,9,15.0,26.6,6.4,1.9,19.2,0.0,Autumn,Center
Лубни,2011,10,6.9,23.1,-4.7,1.7,23.2,0.0,Autumn,Center
Лубни,2011,11,1.6,9.3,-8.2,2.1,1.7,0.0,Autumn,Center
Могилів-Подільський,2011,9,16.8,30.7,3.6,0.8,5.0,0.0,Autumn,Center
Могилів-Подільський,2011,10,8.0,26.6,-4.7,1.0,32.8,0.0,Autumn,Center
Могилів-Подільський,2011,11,3.1,35.6,-8.1,1.1,2.3,0.0,Autumn,Center
Полтава,2011,9,15.7,28.6,6.3,2.5,11.8,0.0,Autumn,Center
Полтава,2011,10,7.5,22.5,-2.6,2.6,11.6,0.0,Autumn,Center
Полтава,2011,11,0.9,9.6,-11.6,2.9,9.0,0.0,Autumn,Center
Світловодськ,2011,9,16.8,26.9,7.2,2.1,8.4,0.0,Autumn,Center
Світловодськ,2011,10,8.4,23.1,-3.5,2.1,20.5,0.0,Autumn,Center
Світловодськ,2011,11,2.3,9.7,-9.2,2.5,4.5,0.0,Autumn,Center
Умань,2011,9,15.0,29.0,3.6,0.7,12.4,0.0,Autumn,Center
Умань,2011,10,6.9,24.8,-5.0,1.3,69.9,0.0,Autumn,Center
Умань,2011,11,1.8,11.3,-5.2,1.3,1.8,0.9,Autumn,Center
Біла Церква,2012,9,16.3,27.3,6.3,2.8,78.6,0.0,Autumn,Center
Біла Церква,2012,10,10.0,25.3,-2.4,3.3,120.4,0.0,Autumn,Center
Біла Церква,2012,11,4.7,14.6,-2.0,3.4,75.1,0.0,Autumn,Center
Бобринець,2012,9,17.5,28.5,6.5,1.5,96.1,0.0,Autumn,Center
