City,Year,Month,Average Temperature (celsius),Max Temperature (celsius),Min Temperature (celsius),Average Wind Speed (m/s),Total Precipitation (mm),Max Snow Depth (cm),Season,Region
Вінниця,2010,3,0.8,16.2,-14.1,4.0,11.8,23.0,Spring,Center
Вінниця,2010,4,9.4,21.3,0.8,3.9,36.6,0.0,Spring,Center
Вінниця,2010,5,15.9,23.8,8.7,3.9,48.6,0.0,Spring,Center
Кропивницький,2010,3,0.4,16.2,-16.9,3.9,26.8,25.0,Spring,Center
Кропивницький,2010,4,9.6,19.0,0.4,3.4,11.4,0.0,Spring,Center
Кропивницький,2010,5,17.0,26.6,6.4,3.3,41.5,0.0,Spring,Center
Кривий Ріг,2010,3,1.5,17.1,-13.0,4.3,13.3,15.0,Spring,Center
Кривий Ріг,2010,4,10.3,19.7,0.2,3.8,7.9,0.0,Spring,Center
Кривий Ріг,2010,5,17.5,28.0,9.0,3.5,75.0,0.0,Spring,Center
Лубни,2010,4,10.2,18.3,0.8,1.8,8.6,0.0,Spring,Center
Лубни,2010,5,17.3,26.9,7.6,1.6,56.1,0.0,Spring,Center
Могилів-Подільський,2010,3,3.7,21.3,-11.0,1.5,8.2,2.0,Spring,Center
Могилів-Подільський,2010,4,10.8,23.4,-1.4,1.4,38.8,0.0,Spring,Center
Могилів-Подільський,2010,5,17.4,26.9,6.7,1.4,69.4,0.0,Spring,Center
Полтава,2010,4,10.5,19.6,1.2,2.7,12.8,0.0,Spring,Center
Полтава,2010,5,17.7,28.6,9.0,2.5,52.5,0.0,Spring,Center
Світловодськ,2010,3,1.1,18.0,-13.5,2.4,22.2,20.0,Spring,Center
Світловодськ,2010,4,10.1,20.0,1.7,1.9,7.6,0.0,Spring,Center
Світловодськ,2010,5,18.0,27.9,9.7,1.9,34.2,0.0,Spring,Center
Умань,2010,4,9.4,20.4,-0.2,1.2,45.1,0.0,Spring,Center
Умань,2010,5,16.4,25.0,6.8,1.3,48.1,0.0,Spring,Center
Вінниця,2011,3,0.6,16.9,-16.1,3.9,5.8,15.0,Spring,Center
Вінниця,2011,4,9.1,21.4,0.8,4.5,19.9,0.7,Spring,Center
Вінниця,2011,5,15.3,26.8,2.4,3.4,45.1,0.0,Spring,Center
Кропивницький,2011,3,1.3,15.4,-13.4,4.2,94.9,6.0,Spring,Center
Кропивницький,2011,4,9.1,22.8,-2.2,4.4,38.4,0.0,Spring,Center
Кропивницький,2011,5,16.4,36.0,2.4,3.5,35.9,0.0,Spring,Center
Кривий Ріг,2011,3,1.4,16.4,-14.0,4.5,10.9,7.0,Spring,Center
Кривий Ріг,2011,4,9.3,22.2,-0.7,4.8,26.5,0.0,Spring,Center
Кривий Ріг,2011,5,17.0,29.1,4.4,3.6,9.0,0.0,Spring,Center
Лубни,2011,3,0.3,13.3,-13.7,2.0,13.7,15.0,Spring,Center
Лубни,2011,4,9.3,22.7,-0.4,2.3,35.7,0.0,Spring,Center
Лубни,2011,5,17.2,30.1,1.9,1.5,7.1,0.0,Spring,Center
Могилів-Подільський,2011,3,2.7,19.5,-14.6,1.3,8.5,9.0,Spring,Center
Могилів-Подільський,2011,4,10.1,23.3,-0.8,1.8,34.9,0.0,Spring,Center
Могилів-Подільський,2011,5,16.5,30.0,4.1,1.4,31.0,0.0,Spring,Center
Полтава,2011,3,0.1,13.0,-15.0,2.9,10.0,2.0,Spring,Center
Полтава,2011,4,9.0,23.3,-0.4,3.3,45.7,0.0,Spring,Center
Полтава,2011,5,17.4,28.7,5.0,2.3,46.2,0.0,Spring,Center
Світловодськ,2011,3,0.7,13.6,-14.0,2.7,5.8,3.0,Spring,Center
Світловодськ,2011,4,9.2,22.6,0.6,2.8,42.7,0.0,Spring,Center
Світловодськ,2011,5,17.2,29.4,3.0,2.2,16.8,0.0,Spring,Center
Умань,2011,3,1.5,16.4,-14.7,1.9,4.1,9.0,Spring,Center
Умань,2011,4,9.5,23.0,-0.8,2.3,26.4,0.0,Spring,Center
Умань,2011,5,15.8,28.7,2.9,1.3,75.1,0.0,Spring,Center
Біла Церква,2012,3,2.8,2.8,2.8,4.0,1.2,0.0,Spring,Center
Бобринець,2012,3,1.2,1.2,1.2,1.0,0.0,0.0,Spring,Center
Веселий Поділ,2012,3,0.3,0.3,0.3,1.0,0.6,0.0,Spring,Center
Вінниця,2012,3,2.2,17.2,-10.7,4.7,26.8,11.0,Spring,Center
Вінниця,2012,4,11.1,28.3,-2.7,4.1,68.6,4.0,Spring,Center
Вінниця,2012,5,17.2,28.7,7.2,3.4,22.7,0.0,Spring,Center
Гадяч,2012,3,-0.2,-0.2,-0.2,1.0,0.4,0.7,Spring,Center
Гайсин,2012,3,3.7,3.7,3.7,2.0,1.0,0.0,Spring,Center
Жашків,2012,3,2.6,2.6,2.6,1.0,4.0,0.0,Spring,Center
Звенигородка,2012,3,1.3,1.3,1.3,2.0,0.0,1.0,Spring,Center
Знам’янка,2012,3,0.1,0.1,0.1,2.0,0.0,0.0,Spring,Center
Кропивницький,2012,3,1.2,17.6,-13.4,4.3,16.3,10.0,Spring,Center
Кропивницький,2012,4,12.8,30.0,-2.0,4.2,17.9,0.0,Spring,Center
Кропивницький,2012,5,19.3,29.8,7.7,3.9,22.0,0.0,Spring,Center
Кобеляки,2012,3,0.7,0.7,0.7,0.0,0.6,0.0,Spring,Center
Кривий Ріг,2012,3,0.6,16.4,-12.7,4.5,16.9,18.0,Spring,Center
Кривий Ріг,2012,4,13.4,31.8,-0.5,4.5,18.6,0.0,Spring,Center
Кривий Ріг,2012,5,20.1,31.2,9.7,4.2,44.2,0.0,Spring,Center
Лубни,2012,3,0.5,15.0,-11.7,2.6,34.8,26.0,Spring,Center
Лубни,2012,4,12.7,29.6,-0.2,1.9,37.0,0.7,Spring,Center
Лубни,2012,5,18.9,29.3,8.9,1.8,22.6,0.0,Spring,Center
Могилів-Подільський,2012,3,3.9,20.8,-10.7,1.8,24.0,16.0,Spring,Center
Могилів-Подільський,2012,4,12.6,31.3,-2.5,1.6,76.6,0.0,Spring,Center
Могилів-Подільський,2012,5,17.9,32.0,5.8,1.2,40.5,0.0,Spring,Center
Полтава,2012,3,-0.1,13.3,-12.3,4.0,17.4,16.0,Spring,Center
Полтава,2012,4,13.6,29.2,0.1,2.8,45.4,1.0,Spring,Center
Полтава,2012,5,19.4,30.4,8.0,3.0,21.5,0.0,Spring,Center
Світловодськ,2012,3,-0.0,16.5,-18.7,2.9,18.8,12.0,Spring,Center
Світловодськ,2012,4,12.9,28.0,0.7,2.4,45.2,0.0,Spring,Center
Світловодськ,2012,5,19.5,28.7,9.6,2.3,44.8,0.0,Spring,Center
Тетерів (Пісківка),2012,3,1.8,1.8,1.8,2.0,1.6,0.8,Spring,Center
Умань,2012,3,2.3,19.6,-12.7,3.2,22.6,12.0,Spring,Center
Умань,2012,4,12.1,29.2,-2.6,2.0,39.8,0.0,Spring,Center
Умань,2012,5,18.0,29.6,7.0,1.9,45.3,0.0,Spring,Center
Черкаси,2012,3,1.2,1.2,1.2,2.0,0.0,0.0,Spring,Center
Чигирин,2012,3,0.9,0.9,0.9,1.0,0.0,0.0,Spring,Center
Яготин,2012,3,1.1,1.1,1.1,1.0,0.0,0.0,Spring,Center
Вінниця,2013,4,10.4,27.9,-1.1,3.8,16.2,18.0,Spring,Center
Вінниця,2013,5,17.4,28.5,6.6,3.6,58.6,0.0,Spring,Center
Кропивницький,2013,3,0.3,18.4,-10.2,5.5,49.4,4.0,Spring,Center
Кропивницький,2013,4,11.0,27.8,-0.2,4.2,14.6,0.0,Spring,Center
Кропивницький,2013,5,19.2,29.5,7.6,3.3,43.8,0.0,Spring,Center
Кривий Ріг,2013,3,1.1,20.3,-8.9,5.6,45.9,3.0,Spring,Center
Кривий Ріг,2013,4,11.3,26.7,0.4,4.6,12.8,0.0,Spring,Center
Кривий Ріг,2013,5,19.6,29.8,9.7,3.7,21.3,0.0,Spring,Center
Лубни,2013,3,-1.5,12.1,-9.8,2.8,113.0,21.0,Spring,Center
Лубни,2013,4,10.7,28.2,-3.1,2.1,31.8,12.0,Spring,Center
Лубни,2013,5,19.8,29.6,7.8,1.7,35.3,0.0,Spring,Center
Могилів-Подільський,2013,3,1.3,13.3,-11.7,1.9,65.6,4.0,Spring,Center
Могилів-Подільський,2013,4,12.1,31.3,-2.4,1.5,18.4,0.0,Spring,Center
Могилів-Подільський,2013,5,18.2,31.2,6.8,1.3,92.2,0.0,Spring,Center
Полтава,2013,3,-0.9,13.1,-8.8,4.3,82.4,5.0,Spring,Center
Полтава,2013,4,11.1,27.2,-0.6,3.6,15.7,0.0,Spring,Center
Полтава,2013,5,20.1,28.7,9.1,2.5,57.9,0.0,Spring,Center
Світловодськ,2013,3,0.4,14.1,-7.2,3.9,78.0,5.0,Spring,Center
Світловодськ,2013,4,10.7,28.3,-0.1,2.6,12.9,0.0,Spring,Center
Світловодськ,2013,5,20.1,30.0,7.9,2.1,35.3,0.0,Spring,Center
Умань,2013,3,0.1,14.0,-10.8,3.9,62.0,10.0,Spring,Center
Умань,2013,4,11.1,28.4,-2.5,2.2,37.1,0.0,Spring,Center
Умань,2013,5,18.3,29.1,7.1,1.2,70.8,0.0,Spring,Center
Біла Церква,2014,3,6.3,18.4,-1.7,4.4,20.2,0.0,Spring,Center
Біла Церква,2014,4,9.7,21.7,-4.8,3.0,56.2,0.0,Spring,Center
Біла Церква,2014,5,15.9,29.8,0.0,2.5,117.0,0.0,Spring,Center
Бобринець,2014,3,7.0,19.7,-1.5,3.7,18.2,0.0,Spring,Center
Бобринець,2014,4,10.5,22.0,-7.5,2.9,62.5,0.0,Spring,Center
Бобринець,2014,5,17.3,30.4,1.0,2.3,118.5,0.0,Spring,Center
Веселий Поділ,2014,3,6.1,21.7,-2.8,3.7,16.9,0.0,Spring,Center
Веселий Поділ,2014,4,10.0,21.7,-5.2,3.1,40.7,0.0,Spring,Center
Веселий Поділ,2014,5,18.2,31.1,0.0,2.4,78.5,0.0,Spring,Center
Вінниця,2014,3,5.5,18.8,-2.6,4.5,18.1,8.0,Spring,Center
Вінниця,2014,4,9.2,21.5,-3.8,3.4,47.7,0.0,Spring,Center
Вінниця,2014,5,15.5,27.9,1.2,3.2,134.9,0.0,Spring,Center
Гадяч,2014,3,5.8,21.3,-2.1,3.2,15.8,0.0,Spring,Center
Гадяч,2014,4,9.6,22.2,-4.7,2.3,35.1,0.0,Spring,Center
Гадяч,2014,5,18.6,33.0,0.0,2.1,76.9,0.0,Spring,Center
Гайворон,2014,3,7.2,18.7,-4.4,2.6,16.9,0.0,Spring,Center
Гайворон,2014,4,10.3,22.6,-4.5,1.7,46.9,0.0,Spring,Center
Гайворон,2014,5,16.3,29.7,0.0,1.4,157.1,0.0,Spring,Center
Гайсин,2014,3,6.9,19.4,-2.9,2.9,20.6,0.0,Spring,Center
Гайсин,2014,4,9.9,22.1,-6.1,1.9,75.2,0.0,Spring,Center
Гайсин,2014,5,16.2,29.0,0.0,1.3,158.3,0.0,Spring,Center
Жашків,2014,3,6.4,18.7,-2.7,1.7,23.0,0.0,Spring,Center
Жашків,2014,4,9.6,21.9,-3.0,1.1,86.5,0.0,Spring,Center
Жашків,2014,5,16.1,30.0,1.0,1.0,137.5,0.0,Spring,Center
Жмеринка,2014,3,6.2,18.5,-2.4,3.6,27.0,0.0,Spring,Center
Жмеринка,2014,4,9.3,21.2,-3.3,2.7,41.3,0.0,Spring,Center
Жмеринка,2014,5,15.4,27.7,0.0,2.4,73.4,0.0,Spring,Center
Звенигородка,2014,3,6.4,19.0,-2.2,2.4,22.0,0.0,Spring,Center
Звенигородка,2014,4,9.7,21.3,-3.6,1.4,86.5,0.0,Spring,Center
Звенигородка,2014,5,16.3,29.7,1.0,1.4,146.2,0.0,Spring,Center
Знам’янка,2014,3,6.2,20.8,-2.6,3.3,13.3,0.0,Spring,Center
Знам’янка,2014,4,10.0,22.2,-4.1,2.6,54.2,0.0,Spring,Center
Знам’янка,2014,5,17.3,30.1,2.0,2.2,113.4,0.0,Spring,Center
Кропивницький,2014,3,6.4,19.9,-3.6,4.9,12.3,1.0,Spring,Center
Кропивницький,2014,4,10.3,21.8,-6.2,3.9,90.7,0.0,Spring,Center
Кропивницький,2014,5,17.2,30.0,1.1,3.1,102.4,0.0,Spring,Center
Кобеляки,2014,3,6.3,21.8,-2.5,3.3,17.1,0.0,Spring,Center
Кобеляки,2014,4,10.2,22.6,-2.4,2.7,26.8,0.0,Spring,Center
Кобеляки,2014,5,18.8,31.0,2.0,2.4,38.0,0.0,Spring,Center
Кривий Ріг,2014,3,6.5,20.6,-3.5,5.5,11.1,0.0,Spring,Center
Кривий Ріг,2014,4,10.3,21.5,-3.8,4.1,94.6,0.0,Spring,Center
Кривий Ріг,2014,5,17.8,29.9,2.6,3.6,63.4,0.0,Spring,Center
Лубни,2014,3,5.8,21.7,-1.7,2.7,24.5,0.8,Spring,Center
Лубни,2014,4,9.8,21.5,-5.2,2.1,50.1,0.0,Spring,Center
Лубни,2014,5,18.4,30.8,1.2,1.7,65.8,0.0,Spring,Center
Могилів-Подільський,2014,3,7.0,21.4,-3.9,1.7,16.4,0.7,Spring,Center
Могилів-Подільський,2014,4,10.9,30.1,-4.6,1.4,60.7,0.0,Spring,Center
Могилів-Подільський,2014,5,16.6,30.2,-0.9,1.3,98.7,0.0,Spring,Center
Новомиргород,2014,3,6.4,19.6,-1.6,3.2,18.0,0.0,Spring,Center
Новомиргород,2014,4,9.9,22.0,-6.4,2.6,56.6,0.0,Spring,Center
Новомиргород,2014,5,16.7,29.7,1.0,1.9,121.5,0.0,Spring,Center
Полтава,2014,3,5.5,21.5,-2.9,3.9,16.5,0.7,Spring,Center
Полтава,2014,4,9.7,21.1,-2.0,3.4,42.7,1.0,Spring,Center
Полтава,2014,5,18.5,31.8,1.5,2.8,59.3,0.0,Spring,Center
Світловодськ,2014,3,5.9,21.6,-1.6,3.4,9.0,2.0,Spring,Center
Світловодськ,2014,4,10.2,22.2,-4.4,2.7,50.2,0.0,Spring,Center
Світловодськ,2014,5,18.2,31.1,2.8,2.3,81.6,0.0,Spring,Center
Тетерів (Пісківка),2014,3,6.4,21.3,-3.7,1.9,18.9,0.0,Spring,Center
Умань,2014,3,6.3,18.6,-2.0,3.2,15.3,0.0,Spring,Center
Умань,2014,5,16.1,28.7,1.4,1.2,124.6,0.0,Spring,Center
Хмільник,2014,3,6.0,18.2,-3.5,2.0,19.5,0.0,Spring,Center
Хмільник,2014,4,9.2,21.2,-5.8,1.7,38.5,0.0,Spring,Center
Хмільник,2014,5,15.6,28.6,0.0,1.6,114.5,0.0,Spring,Center
Черкаси,2014,3,6.4,20.2,-3.4,4.6,12.3,0.0,Spring,Center
Черкаси,2014,4,9.6,22.7,-8.4,3.4,36.7,0.0,Spring,Center
Черкаси,2014,5,17.0,30.2,0.0,2.9,111.4,0.0,Spring,Center
Чигирин,2014,3,6.6,20.5,-1.9,2.6,15.7,0.0,Spring,Center
Чигирин,2014,4,10.2,22.6,-4.9,1.9,72.0,0.0,Spring,Center
Чигирин,2014,5,17.7,29.9,2.0,1.4,160.8,0.0,Spring,Center
Яготин,2014,3,6.1,20.3,-1.8,3.4,15.8,0.0,Spring,Center
Яготин,2014,4,9.8,22.9,-4.8,2.7,26.1,0.0,Spring,Center
Яготин,2014,5,17.3,29.3,1.0,2.3,135.7,0.0,Spring,Center
Біла Церква,2015,3,4.6,14.8,-5.1,4.0,34.7,0.0,Spring,Center
Біла Церква,2015,4,9.5,23.9,-1.6,4.7,10.2,0.0,Spring,Center
Біла Церква,2015,5,16.4,29.5,5.4,3.5,37.8,0.0,Spring,Center
Бобринець,2015,3,4.7,16.6,-7.3,3.2,54.4,0.0,Spring,Center
Бобринець,2015,4,9.6,24.1,-1.0,3.6,53.4,0.0,Spring,Center
Бобринець,2015,5,16.8,29.1,5.1,2.7,46.1,0.0,Spring,Center
Веселий Поділ,2015,3,4.5,18.0,-3.9,4.0,53.0,1.0,Spring,Center
Веселий Поділ,2015,4,9.5,24.5,-1.4,3.5,24.7,0.0,Spring,Center
Веселий Поділ,2015,5,16.8,29.8,4.5,2.8,56.4,0.0,Spring,Center
Вінниця,2015,3,4.0,14.2,-5.1,4.1,43.9,2.0,Spring,Center
Вінниця,2015,4,8.5,22.5,-1.7,4.9,36.2,2.0,Spring,Center
Вінниця,2015,5,15.2,27.2,4.2,3.7,34.5,0.0,Spring,Center
Гадяч,2015,3,3.9,18.2,-4.0,3.0,52.3,4.0,Spring,Center
Гадяч,2015,4,9.4,24.2,-1.0,2.8,20.5,0.0,Spring,Center
Гадяч,2015,5,16.3,29.7,-11.2,2.3,97.1,0.0,Spring,Center
Гайворон,2015,5,24.7,30.1,19.3,2.0,0.0,0.0,Spring,Center
Гайсин,2015,3,4.5,14.6,-4.6,2.3,41.6,0.0,Spring,Center
Гайсин,2015,4,9.1,23.6,-2.8,3.0,27.2,0.7,Spring,Center
Гайсин,2015,5,16.2,29.0,3.2,2.0,50.0,0.0,Spring,Center
Жашків,2015,5,24.6,26.1,23.1,1.0,0.0,0.0,Spring,Center
Жмеринка,2015,5,23.1,27.5,18.7,3.0,0.0,0.0,Spring,Center
Звенигородка,2015,3,4.3,14.6,-3.8,2.4,45.2,0.0,Spring,Center
Звенигородка,2015,4,8.9,22.7,-2.0,2.9,36.2,15.0,Spring,Center
Звенигородка,2015,5,15.9,27.9,5.6,1.9,56.3,0.0,Spring,Center
Знам’янка,2015,3,4.3,17.1,-4.9,2.9,76.3,0.0,Spring,Center
Знам’янка,2015,4,9.3,23.8,-1.3,3.1,40.8,0.0,Spring,Center
Знам’янка,2015,5,16.2,28.2,5.2,2.4,68.3,0.0,Spring,Center
Кропивницький,2015,3,4.4,17.0,-6.0,4.6,84.8,0.0,Spring,Center
Кропивницький,2015,4,9.0,23.7,-2.1,4.4,38.4,0.0,Spring,Center
Кропивницький,2015,5,16.1,29.0,5.9,3.6,71.6,0.0,Spring,Center
Кобеляки,2015,3,4.6,18.9,-4.4,3.5,56.0,7.0,Spring,Center
Кобеляки,2015,4,9.5,24.0,0.2,3.2,44.4,0.0,Spring,Center
Кобеляки,2015,5,16.8,29.3,6.6,2.7,46.0,0.0,Spring,Center
Кривий Ріг,2015,3,4.7,18.5,-4.8,5.1,58.4,0.7,Spring,Center
Кривий Ріг,2015,4,9.0,23.2,-2.1,4.8,76.7,0.0,Spring,Center
Кривий Ріг,2015,5,16.3,30.2,5.3,4.1,55.4,0.0,Spring,Center
Умань,2015,3,4.1,15.1,-5.2,2.0,56.0,0.0,Spring,Center
Умань,2015,4,8.7,23.6,-2.8,3.2,70.1,17.0,Spring,Center
Умань,2015,5,15.5,28.9,5.0,1.4,41.1,0.0,Spring,Center
Черкаси,2015,3,4.4,14.6,-4.8,4.0,46.7,5.0,Spring,Center
Черкаси,2015,4,9.3,24.5,-2.8,4.0,25.6,0.7,Spring,Center
Черкаси,2015,5,15.9,28.7,5.2,3.2,88.7,0.0,Spring,Center
Чигирин,2015,3,4.6,15.3,-5.3,2.1,58.3,0.0,Spring,Center
Чигирин,2015,4,9.6,24.3,-0.7,2.5,37.3,4.0,Spring,Center
Чигирин,2015,5,16.5,28.6,4.8,1.8,82.3,0.0,Spring,Center
Яготин,2015,3,4.4,16.0,-4.4,3.0,47.0,1.0,Spring,Center
Яготин,2015,4,9.6,24.6,-2.4,3.1,22.3,0.0,Spring,Center
Яготин,2015,5,16.4,28.8,4.7,2.3,72.4,0.0,Spring,Center
Біла Церква,2016,3,4.1,15.7,-5.1,4.2,22.41,4.0,Spring,Center
Біла Церква,2016,4,12.4,24.7,0.7,3.6,66.6,0.0,Spring,Center
Біла Церква,2016,5,14.8,25.1,5.2,2.7,108.1,0.0,Spring,Center
Бобринець,2016,3,5.0,16.2,-6.4,3.2,54.41,0.0,Spring,Center
Бобринець,2016,4,12.6,27.7,1.0,3.1,21.2,0.0,Spring,Center
Бобринець,2016,5,15.6,24.8,5.3,2.2,119.3,0.0,Spring,Center
Веселий Поділ,2016,3,4.0,12.8,-4.5,3.6,57.81,2.0,Spring,Center
Веселий Поділ,2016,4,12.7,24.2,1.5,3.6,50.71,0.0,Spring,Center
Веселий Поділ,2016,5,15.2,24.4,6.5,2.5,158.2,0.0,Spring,Center
Вінниця,2016,3,4.0,16.6,-4.4,3.8,18.7,0.7,Spring,Center
Вінниця,2016,4,11.9,24.4,-0.2,3.6,27.2,0.0,Spring,Center
Вінниця,2016,5,14.2,24.2,4.5,3.0,53.5,0.0,Spring,Center
Гадяч,2016,3,3.3,13.8,-5.3,2.6,55.3,1.0,Spring,Center
Гадяч,2016,4,12.2,24.0,1.8,2.6,47.6,0.0,Spring,Center
Гадяч,2016,5,15.3,25.5,5.3,2.0,118.3,0.0,Spring,Center
Гайворон,2016,3,5.1,19.9,-4.5,2.3,25.45,0.0,Spring,Center
Гайворон,2016,4,12.9,27.4,-1.0,1.9,42.83,0.0,Spring,Center
Гайворон,2016,5,15.3,25.7,4.3,1.5,87.42,0.0,Spring,Center
Гайсин,2016,3,4.5,18.7,-4.1,2.6,18.3,0.7,Spring,Center
Гайсин,2016,4,12.5,26.8,-0.8,2.2,35.1,0.0,Spring,Center
Гайсин,2016,5,14.9,25.2,3.8,2.0,113.7,0.0,Spring,Center
Жашків,2016,3,4.2,16.4,-4.5,1.5,24.65,0.0,Spring,Center
Жашків,2016,4,12.4,24.5,0.6,1.3,40.9,0.0,Spring,Center
Жашків,2016,5,15.0,24.8,4.5,0.9,130.82,0.0,Spring,Center
Жмеринка,2016,3,4.2,17.5,-4.0,3.2,28.54,0.0,Spring,Center
Жмеринка,2016,4,12.0,24.2,0.8,2.7,30.41,0.0,Spring,Center
Жмеринка,2016,5,14.3,25.2,5.8,2.1,82.81,0.0,Spring,Center
Звенигородка,2016,3,4.1,16.6,-4.4,2.6,29.2,5.0,Spring,Center
Звенигородка,2016,4,12.3,24.8,1.9,2.1,40.8,0.0,Spring,Center
Звенигородка,2016,5,15.1,25.1,5.4,1.4,109.7,0.0,Spring,Center
Знам’янка,2016,3,3.9,14.4,-5.7,2.7,53.81,5.0,Spring,Center
Знам’янка,2016,4,12.4,26.6,1.4,2.7,17.4,0.0,Spring,Center
Знам’янка,2016,5,15.2,24.6,5.2,1.8,86.6,0.0,Spring,Center
Кропивницький,2016,3,4.4,16.2,-6.0,4.4,47.7,2.0,Spring,Center
Кропивницький,2016,4,12.4,26.4,0.2,4.1,30.8,0.0,Spring,Center
Кропивницький,2016,5,15.1,24.1,5.7,2.7,108.4,0.0,Spring,Center
Кобеляки,2016,3,4.0,12.8,-6.0,3.2,52.41,1.0,Spring,Center
Кобеляки,2016,4,12.8,24.8,1.9,3.1,40.2,0.0,Spring,Center
Кобеляки,2016,5,15.7,25.0,6.8,2.5,142.7,0.0,Spring,Center
Кривий Ріг,2016,3,5.0,14.1,-8.6,4.8,49.5,0.0,Spring,Center
Кривий Ріг,2016,4,12.4,27.3,1.0,4.7,46.1,0.0,Spring,Center
Кривий Ріг,2016,5,15.5,24.6,5.8,3.5,66.6,0.0,Spring,Center
Лубни,2016,3,3.7,13.3,-4.2,2.3,51.0,3.0,Spring,Center
