City,Year,Month,Average Temperature (celsius),Max Temperature (celsius),Min Temperature (celsius),Average Wind Speed (m/s),Total Precipitation (mm),Max Snow Depth (cm),Season,Region
Вінниця,2010,6,19.4,30.5,8.9,3.7,192.2,0.0,Summer,Center
Вінниця,2010,7,22.2,32.3,11.7,3.0,107.3,0.0,Summer,Center
Вінниця,2010,8,22.3,33.6,8.5,3.2,14.1,0.0,Summer,Center
Кропивницький,2010,6,21.6,34.0,8.5,3.5,36.9,0.0,Summer,Center
Кропивницький,2010,7,23.8,34.5,13.1,2.7,146.4,0.0,Summer,Center
Кропивницький,2010,8,24.8,38.3,9.1,3.5,8.0,0.0,Summer,Center
Кривий Ріг,2010,6,22.2,33.6,10.6,3.7,38.6,0.0,Summer,Center
Кривий Ріг,2010,7,24.1,34.1,15.5,2.9,82.8,0.0,Summer,Center
Кривий Ріг,2010,8,25.6,39.3,11.1,3.9,24.0,0.0,Summer,Center
Лубни,2010,6,22.1,33.7,9.6,1.8,20.7,0.0,Summer,Center
Лубни,2010,7,25.0,35.6,16.7,1.2,51.0,0.0,Summer,Center
Лубни,2010,8,25.0,38.7,10.5,1.6,6.4,0.0,Summer,Center
Могилів-Подільський,2010,6,20.5,34.0,7.0,1.2,109.2,0.0,Summer,Center
Могилів-Подільський,2010,7,23.1,33.5,12.8,0.8,76.7,0.0,Summer,Center
Могилів-Подільський,2010,8,23.2,37.0,7.2,0.9,53.4,0.0,Summer,Center
Полтава,2010,6,22.2,33.8,11.2,2.6,83.3,0.0,Summer,Center
Полтава,2010,7,24.8,35.6,15.5,2.1,64.0,0.0,Summer,Center
Полтава,2010,8,25.6,38.7,10.4,2.6,10.0,0.0,Summer,Center
Світловодськ,2010,6,22.9,35.0,13.2,2.3,59.9,0.0,Summer,Center
Світловодськ,2010,7,25.3,34.9,17.8,1.7,72.6,0.0,Summer,Center
Світловодськ,2010,8,26.0,39.6,10.8,2.3,6.8,0.0,Summer,Center
Умань,2010,6,20.5,32.9,9.0,1.2,138.5,0.0,Summer,Center
Умань,2010,7,23.0,33.8,13.4,0.6,63.9,0.0,Summer,Center
Умань,2010,8,23.6,36.6,8.9,1.0,34.3,0.0,Summer,Center
Вінниця,2011,6,19.2,29.5,10.6,3.8,141.6,0.0,Summer,Center
Вінниця,2011,7,20.5,30.8,9.4,2.9,79.4,0.0,Summer,Center
Вінниця,2011,8,18.4,28.3,8.2,3.5,19.6,0.0,Summer,Center
Кропивницький,2011,6,20.2,31.4,11.5,3.0,129.7,0.0,Summer,Center
Кропивницький,2011,7,22.4,33.7,11.3,2.8,42.3,0.0,Summer,Center
Кропивницький,2011,8,19.8,30.6,9.4,3.5,20.2,0.0,Summer,Center
Кривий Ріг,2011,6,21.0,32.7,10.9,3.3,42.5,0.0,Summer,Center
Кривий Ріг,2011,7,23.9,35.2,12.7,3.8,29.0,0.0,Summer,Center
Кривий Ріг,2011,8,21.3,34.8,11.3,4.1,16.8,0.0,Summer,Center
Лубни,2011,6,20.7,30.6,12.5,1.5,82.4,0.0,Summer,Center
Лубни,2011,7,22.4,31.9,13.4,1.5,113.4,0.0,Summer,Center
Лубни,2011,8,19.6,30.7,10.3,2.0,10.7,0.0,Summer,Center
Могилів-Подільський,2011,6,20.3,32.9,9.6,1.4,120.5,0.0,Summer,Center
Могилів-Подільський,2011,7,22.2,35.8,7.8,0.9,35.3,0.0,Summer,Center
Могилів-Подільський,2011,8,20.4,31.5,8.7,1.1,9.9,0.0,Summer,Center
Полтава,2011,6,20.5,30.4,12.6,2.6,100.6,0.0,Summer,Center
Полтава,2011,7,23.0,33.6,15.0,2.4,164.1,0.0,Summer,Center
Полтава,2011,8,20.3,33.6,10.2,2.7,52.8,0.0,Summer,Center
Світловодськ,2011,6,21.5,31.8,14.8,2.2,123.0,0.0,Summer,Center
Світловодськ,2011,7,23.2,34.0,14.1,2.0,114.0,0.0,Summer,Center
Світловодськ,2011,8,20.9,30.6,10.6,2.5,16.1,0.0,Summer,Center
Умань,2011,6,19.6,30.9,11.0,1.5,129.0,0.0,Summer,Center
Умань,2011,7,21.7,32.6,8.4,0.5,151.3,0.0,Summer,Center
Умань,2011,8,18.8,28.8,7.8,1.1,50.7,0.0,Summer,Center
Біла Церква,2012,8,16.8,16.8,16.8,0.0,0.0,0.0,Summer,Center
Бобринець,2012,8,18.3,18.3,18.3,0.0,0.0,0.0,Summer,Center
Веселий Поділ,2012,8,17.0,17.0,17.0,2.0,0.0,0.0,Summer,Center
Вінниця,2012,6,19.7,33.2,8.7,3.5,70.7,0.0,Summer,Center
Вінниця,2012,7,22.5,33.9,12.2,3.2,55.8,0.0,Summer,Center
Вінниця,2012,8,19.6,36.8,7.7,3.7,48.2,0.0,Summer,Center
Гадяч,2012,8,14.0,14.0,14.0,0.0,0.0,0.0,Summer,Center
Гайсин,2012,8,17.4,17.4,17.4,0.0,0.0,0.0,Summer,Center
Жашків,2012,8,15.7,15.7,15.7,0.0,0.0,0.0,Summer,Center
Звенигородка,2012,8,15.8,15.8,15.8,1.0,0.0,0.0,Summer,Center
Знам’янка,2012,8,17.9,17.9,17.9,0.0,0.0,0.0,Summer,Center
Кропивницький,2012,6,21.8,33.9,7.4,3.7,26.2,0.0,Summer,Center
Кропивницький,2012,7,24.3,34.6,11.0,3.7,59.6,0.0,Summer,Center
Кропивницький,2012,8,21.5,37.8,7.2,3.8,41.5,0.0,Summer,Center
Кобеляки,2012,8,19.8,19.8,19.8,1.0,0.0,0.0,Summer,Center
Кривий Ріг,2012,6,22.6,35.1,9.3,4.1,23.2,0.0,Summer,Center
Кривий Ріг,2012,7,25.6,35.8,12.6,4.4,59.7,0.0,Summer,Center
Кривий Ріг,2012,8,22.7,36.7,8.4,4.4,39.4,0.0,Summer,Center
Лубни,2012,6,20.8,31.6,7.9,1.9,25.8,0.0,Summer,Center
Лубни,2012,7,23.7,33.3,11.7,1.4,87.4,0.0,Summer,Center
Лубни,2012,8,20.6,36.6,7.4,1.9,92.8,0.0,Summer,Center
Могилів-Подільський,2012,6,21.5,36.0,9.6,1.3,44.3,0.0,Summer,Center
Могилів-Подільський,2012,7,24.9,37.3,11.0,1.3,26.5,0.0,Summer,Center
Могилів-Подільський,2012,8,21.6,39.5,8.1,1.2,50.8,0.0,Summer,Center
Полтава,2012,6,21.4,33.0,10.2,2.9,52.3,0.0,Summer,Center
Полтава,2012,7,24.4,33.8,11.0,3.1,46.9,0.0,Summer,Center
Полтава,2012,8,21.4,36.0,7.0,3.4,94.3,0.0,Summer,Center
Світловодськ,2012,6,22.3,33.9,12.2,2.4,43.7,0.0,Summer,Center
Світловодськ,2012,7,24.6,34.9,13.8,2.0,64.6,0.0,Summer,Center
Світловодськ,2012,8,22.0,35.8,9.6,2.7,60.7,0.0,Summer,Center
Тетерів (Пісківка),2012,8,14.8,14.8,14.8,0.0,0.0,0.0,Summer,Center
Умань,2012,6,21.2,35.8,8.2,1.5,25.0,0.0,Summer,Center
Умань,2012,7,23.4,34.2,12.2,1.5,69.3,0.0,Summer,Center
Умань,2012,8,20.9,37.2,8.8,2.4,29.3,0.0,Summer,Center
Черкаси,2012,8,15.4,15.4,15.4,1.0,0.0,0.0,Summer,Center
Чигирин,2012,8,17.3,17.3,17.3,0.0,0.0,0.0,Summer,Center
Яготин,2012,8,14.4,14.4,14.4,2.0,0.0,0.0,Summer,Center
Біла Церква,2013,6,21.2,23.5,17.7,3.0,11.1,0.0,Summer,Center
Біла Церква,2013,7,19.6,29.5,10.5,2.7,29.3,0.0,Summer,Center
Біла Церква,2013,8,18.9,31.1,9.0,2.3,66.9,0.0,Summer,Center
