City,Year,Month,Average Temperature (celsius),Max Temperature (celsius),Min Temperature (celsius),Average Wind Speed (m/s),Total Precipitation (mm),Max Snow Depth (cm),Season,Region
Дніпро,2010,9,16.9,29.1,6.2,4.3,55.8,0.0,Autumn,East
Дніпро,2010,10,6.4,16.9,-3.0,4.2,53.4,0.0,Autumn,East
Дніпро,2010,11,8.8,19.8,-2.0,4.2,38.1,0.0,Autumn,East
Запоріжжя,2010,9,17.7,29.8,5.7,3.8,53.7,0.0,Autumn,East
Запоріжжя,2010,10,6.8,16.9,-3.6,3.6,58.9,0.0,Autumn,East
Запоріжжя,2010,11,9.2,20.7,-1.9,3.7,32.3,0.0,Autumn,East
Ізюм,2010,9,15.4,32.4,1.4,1.3,110.3,0.0,Autumn,East
Ізюм,2010,10,6.0,16.1,-3.6,1.7,64.9,0.0,Autumn,East
Ізюм,2010,11,8.4,19.2,-2.5,2.3,37.7,0.0,Autumn,East
Маріуполь,2010,9,18.4,28.2,6.8,4.8,42.5,0.0,Autumn,East
Маріуполь,2010,10,7.9,16.6,-0.6,4.9,51.0,0.0,Autumn,East
Маріуполь,2010,11,9.1,17.5,0.7,4.3,53.5,0.0,Autumn,East
Харків,2010,9,15.7,31.6,5.5,3.6,118.8,0.0,Autumn,East
Харків,2010,10,5.9,14.7,-3.3,3.9,101.0,0.0,Autumn,East
Харків,2010,11,7.8,19.9,-6.3,4.2,41.9,0.7,Autumn,East
Донецьк,2010,9,17.3,33.6,4.8,4.3,53.7,0.0,Autumn,East
Донецьк,2010,10,6.1,17.0,-3.1,4.7,55.0,0.0,Autumn,East
Донецьк,2010,11,8.5,19.3,-0.6,4.0,29.8,0.0,Autumn,East
Луганськ,2010,9,17.4,36.0,2.2,2.4,70.5,0.0,Autumn,East
Луганськ,2010,10,6.7,19.6,-3.3,2.6,33.2,0.0,Autumn,East
Луганськ,2010,11,8.6,21.0,-2.8,2.2,33.3,0.0,Autumn,East
Дніпро,2011,9,16.6,31.2,6.4,3.2,23.5,0.0,Autumn,East
Дніпро,2011,10,8.4,25.1,-2.7,3.5,12.4,0.0,Autumn,East
Дніпро,2011,11,0.9,11.6,-11.1,3.6,5.2,0.0,Autumn,East
Запоріжжя,2011,9,16.9,31.4,5.5,3.0,22.0,0.0,Autumn,East
Запоріжжя,2011,10,8.8,24.5,-4.1,3.1,8.5,0.0,Autumn,East
Запоріжжя,2011,11,0.8,11.4,-12.5,3.0,6.8,0.0,Autumn,East
Ізюм,2011,9,14.4,27.9,2.4,1.2,24.2,0.0,Autumn,East
Ізюм,2011,10,7.6,24.9,-5.2,1.3,59.3,0.0,Autumn,East
Ізюм,2011,11,0.1,9.8,-14.4,2.1,10.3,1.0,Autumn,East
Маріуполь,2011,9,17.5,26.5,7.5,3.8,17.6,0.0,Autumn,East
Маріуполь,2011,10,9.7,21.9,-0.6,3.6,34.2,0.0,Autumn,East
Маріуполь,2011,11,0.9,10.9,-9.9,3.4,7.1,0.7,Autumn,East
Харків,2011,9,15.6,29.7,5.8,2.8,12.7,0.0,Autumn,East
Харків,2011,10,7.8,24.5,-2.8,3.0,26.6,0.0,Autumn,East
Харків,2011,11,0.5,8.2,-9.9,3.5,7.7,1.0,Autumn,East
Донецьк,2011,9,15.7,26.8,4.1,2.9,26.9,0.0,Autumn,East
Донецьк,2011,10,8.0,23.4,-4.3,3.4,62.6,0.0,Autumn,East
Донецьк,2011,11,-0.9,9.1,-12.5,3.6,14.7,2.0,Autumn,East
Луганськ,2011,9,15.3,28.7,3.2,1.7,24.1,0.0,Autumn,East
Луганськ,2011,10,8.4,25.2,-5.9,1.8,47.4,0.0,Autumn,East
Луганськ,2011,11,-0.2,11.2,-14.5,2.0,16.5,5.0,Autumn,East
Бахмут,2012,9,16.2,29.5,3.6,1.1,17.0,0.0,Autumn,East
Бахмут,2012,10,12.0,25.0,-1.0,1.6,46.7,0.0,Autumn,East
Бахмут,2012,11,4.0,17.6,-5.1,1.5,16.0,0.0,Autumn,East
Богодухів,2012,9,15.9,26.5,6.7,2.4,29.4,0.0,Autumn,East
Богодухів,2012,10,10.3,23.3,-1.2,3.2,311.0,0.0,Autumn,East
Богодухів,2012,11,3.3,13.3,-4.3,3.2,39.0,0.7,Autumn,East
Великий Бурлук,2012,9,15.3,26.8,5.3,2.3,29.7,0.0,Autumn,East
Великий Бурлук,2012,10,10.4,22.5,-0.5,3.1,281.0,0.0,Autumn,East
Великий Бурлук,2012,11,3.1,15.0,-4.9,3.1,39.2,1.0,Autumn,East
Губиниха,2012,9,16.7,26.9,6.5,1.8,46.6,0.0,Autumn,East
Губиниха,2012,10,11.9,23.8,1.2,2.6,162.6,0.0,Autumn,East
Губиниха,2012,11,4.2,15.5,-3.9,2.7,57.6,0.0,Autumn,East
Дніпро,2012,9,17.2,28.3,6.8,2.7,35.3,0.0,Autumn,East
Дніпро,2012,10,12.3,23.9,0.6,3.7,54.9,0.0,Autumn,East
Дніпро,2012,11,4.5,15.9,-4.5,3.7,26.0,0.0,Autumn,East
Запоріжжя,2012,9,17.5,27.2,6.3,2.4,30.0,0.0,Autumn,East
Запоріжжя,2012,10,12.8,24.5,1.1,3.2,45.8,0.0,Autumn,East
Запоріжжя,2012,11,5.0,16.6,-3.3,3.3,16.1,0.0,Autumn,East
Ізюм,2012,9,15.3,27.7,2.2,1.0,34.8,0.0,Autumn,East
Ізюм,2012,10,11.1,23.4,-1.1,1.4,77.3,0.0,Autumn,East
Ізюм,2012,11,4.1,16.0,-5.6,1.6,13.7,0.0,Autumn,East
Комісарівка,2012,9,16.6,27.1,5.5,1.3,66.6,0.0,Autumn,East
Комісарівка,2012,10,12.0,25.0,0.5,2.0,192.0,0.0,Autumn,East
Комісарівка,2012,11,4.7,16.2,-4.2,2.1,29.2,0.0,Autumn,East
Красноград,2012,9,16.8,27.4,8.0,1.4,17.6,0.0,Autumn,East
Красноград,2012,10,11.5,24.5,1.0,2.1,220.4,0.0,Autumn,East
Красноград,2012,11,3.8,14.8,-3.7,2.2,40.8,0.0,Autumn,East
Куп’янськ,2012,9,15.7,27.6,5.0,0.8,30.6,0.0,Autumn,East
Куп’янськ,2012,10,11.0,23.6,-4.0,1.4,152.9,0.0,Autumn,East
Куп’янськ,2012,11,3.6,16.1,-5.4,1.2,30.4,0.0,Autumn,East
Лозова,2012,9,16.3,26.9,8.3,1.5,54.0,0.0,Autumn,East
