City,Year,Month,Average Temperature (celsius),Max Temperature (celsius),Min Temperature (celsius),Average Wind Speed (m/s),Total Precipitation (mm),Max Snow Depth (cm),Season,Region
Дніпро,2010,3,2.0,16.9,-8.4,4.1,17.5,13.0,Spring,East
Дніпро,2010,4,10.5,21.0,0.7,3.3,19.9,0.0,Spring,East
Дніпро,2010,5,17.4,28.0,8.4,3.0,67.6,0.0,Spring,East
Запоріжжя,2010,3,2.7,17.3,-7.9,4.1,7.8,1.0,Spring,East
Запоріжжя,2010,4,10.6,21.0,-0.7,3.0,7.7,0.0,Spring,East
Запоріжжя,2010,5,17.7,28.7,8.1,2.9,127.8,3.0,Spring,East
Ізюм,2010,3,1.8,16.1,-10.2,2.0,26.2,5.0,Spring,East
Ізюм,2010,4,10.3,21.7,-1.5,1.7,15.3,0.0,Spring,East
Ізюм,2010,5,17.6,27.9,5.6,1.5,82.1,0.0,Spring,East
Маріуполь,2010,3,2.2,13.0,-6.2,4.7,22.6,8.0,Spring,East
Маріуполь,2010,4,10.0,17.4,2.4,4.0,8.5,0.0,Spring,East
Маріуполь,2010,5,17.8,24.4,10.4,3.8,38.6,0.0,Spring,East
Харків,2010,3,0.3,13.9,-10.6,3.6,18.6,9.0,Spring,East
Харків,2010,4,10.4,20.6,2.2,3.6,25.1,0.0,Spring,East
Харків,2010,5,18.0,28.3,8.8,3.5,45.6,0.0,Spring,East
Донецьк,2010,3,1.5,15.9,-9.9,4.7,15.8,4.0,Spring,East
Донецьк,2010,4,9.6,20.4,0.7,3.5,24.7,0.0,Spring,East
Донецьк,2010,5,17.2,27.1,8.0,3.2,91.6,0.0,Spring,East
Луганськ,2010,3,2.1,20.8,-10.7,2.7,19.2,7.0,Spring,East
Луганськ,2010,4,10.0,22.2,-1.0,2.3,31.9,0.0,Spring,East
Луганськ,2010,5,17.8,28.6,5.7,1.9,91.6,0.0,Spring,East
Дніпро,2011,3,0.5,15.3,-15.5,4.3,28.2,18.0,Spring,East
Дніпро,2011,4,9.2,24.1,-0.5,4.2,24.0,0.0,Spring,East
Дніпро,2011,5,17.9,31.0,4.7,3.3,29.3,0.0,Spring,East
Запоріжжя,2011,3,0.7,15.2,-15.9,3.9,7.9,6.0,Spring,East
Запоріжжя,2011,4,9.3,24.1,-1.4,4.1,35.7,0.0,Spring,East
Запоріжжя,2011,5,17.8,29.7,4.3,2.8,35.9,0.0,Spring,East
Ізюм,2011,3,-0.4,13.6,-21.8,2.2,7.8,16.0,Spring,East
Ізюм,2011,4,8.6,24.4,-2.4,2.2,35.6,0.0,Spring,East
Ізюм,2011,5,17.2,29.6,4.8,1.4,57.9,0.0,Spring,East
Маріуполь,2011,3,1.1,10.3,-13.8,4.6,20.5,5.0,Spring,East
Маріуполь,2011,4,8.8,19.5,0.7,5.4,64.5,0.0,Spring,East
Маріуполь,2011,5,16.7,26.5,5.7,3.7,19.8,0.0,Spring,East
Харків,2011,3,-0.4,11.8,-15.8,3.5,5.9,3.0,Spring,East
Харків,2011,4,8.5,22.7,-1.2,3.9,47.9,0.0,Spring,East
Харків,2011,5,18.0,28.8,6.7,2.7,28.4,0.0,Spring,East
Донецьк,2011,3,-0.7,14.0,-18.0,4.3,31.1,17.0,Spring,East
Донецьк,2011,4,8.5,22.7,-1.8,4.7,42.9,0.0,Spring,East
Донецьк,2011,5,17.1,27.7,5.8,2.8,72.0,0.0,Spring,East
Луганськ,2011,3,-0.2,14.7,-16.8,2.3,30.1,7.0,Spring,East
Луганськ,2011,4,8.7,24.7,-2.2,2.7,31.7,0.0,Spring,East
Луганськ,2011,5,17.5,30.3,5.4,1.6,28.0,0.0,Spring,East
Бахмут,2012,3,1.4,1.4,1.4,1.0,0.0,0.0,Spring,East
Богодухів,2012,3,-0.2,-0.2,-0.2,2.0,0.0,0.0,Spring,East
Великий Бурлук,2012,3,0.1,0.1,0.1,2.0,0.0,0.0,Spring,East
Губиниха,2012,3,0.7,0.7,0.7,1.0,0.0,0.0,Spring,East
Дніпро,2012,3,0.5,14.0,-13.1,4.4,36.7,12.0,Spring,East
Дніпро,2012,4,13.5,31.5,-1.2,3.8,13.8,0.0,Spring,East
