City,Year,Month,Average Temperature (celsius),Max Temperature (celsius),Min Temperature (celsius),Average Wind Speed (m/s),Total Precipitation (mm),Max Snow Depth (cm),Season,Region
Дніпро,2010,6,22.7,34.8,12.2,3.8,48.9,0.0,Summer,East
Дніпро,2010,7,24.8,36.8,17.7,3.0,70.3,0.0,Summer,East
Дніпро,2010,8,25.8,40.1,10.4,3.8,11.2,0.0,Summer,East
Запоріжжя,2010,6,23.0,34.1,11.1,3.1,69.2,0.0,Summer,East
Запоріжжя,2010,7,25.5,37.7,17.4,2.8,20.9,0.0,Summer,East
Запоріжжя,2010,8,26.5,39.7,9.2,3.6,7.8,0.0,Summer,East
Ізюм,2010,6,22.9,35.3,8.5,1.6,25.3,0.0,Summer,East
Ізюм,2010,7,24.5,36.2,15.3,1.1,176.5,0.0,Summer,East
Ізюм,2010,8,24.4,38.7,5.3,1.4,10.1,0.0,Summer,East
Маріуполь,2010,6,23.3,32.2,15.2,4.6,29.5,0.0,Summer,East
Маріуполь,2010,7,25.6,35.2,18.2,3.5,66.8,0.0,Summer,East
Маріуполь,2010,8,27.1,36.4,10.5,4.1,0.0,0.0,Summer,East
Харків,2010,6,23.2,34.6,12.1,3.7,19.7,0.0,Summer,East
Харків,2010,7,25.8,36.4,16.6,3.0,62.2,0.0,Summer,East
Харків,2010,8,26.1,39.5,11.3,3.3,16.3,0.0,Summer,East
Донецьк,2010,6,22.8,33.8,11.1,4.0,26.5,0.0,Summer,East
Донецьк,2010,7,25.4,35.9,17.1,3.4,39.9,0.0,Summer,East
Донецьк,2010,8,26.3,38.6,8.7,4.1,2.0,0.0,Summer,East
Луганськ,2010,6,23.6,35.5,9.6,2.2,20.3,0.0,Summer,East
Луганськ,2010,7,25.8,39.0,16.0,1.8,48.2,0.0,Summer,East
Луганськ,2010,8,25.8,41.0,5.8,1.9,4.5,0.0,Summer,East
Дніпро,2011,6,21.2,32.5,11.7,3.2,114.9,0.0,Summer,East
Дніпро,2011,7,23.9,35.6,15.2,3.2,51.2,0.0,Summer,East
Дніпро,2011,8,21.6,35.7,11.6,3.5,19.1,0.0,Summer,East
Запоріжжя,2011,6,21.5,31.5,12.6,2.7,112.6,0.0,Summer,East
Запоріжжя,2011,7,24.3,35.6,14.6,2.7,76.3,0.0,Summer,East
Запоріжжя,2011,8,22.0,35.2,12.0,3.2,13.1,0.0,Summer,East
Ізюм,2011,6,20.6,31.3,10.5,1.4,138.4,0.0,Summer,East
Ізюм,2011,7,23.8,35.2,12.5,1.3,77.2,0.0,Summer,East
