City,Year,Month,Average Temperature (celsius),Max Temperature (celsius),Min Temperature (celsius),Average Wind Speed (m/s),Total Precipitation (mm),Max Snow Depth (cm),Season,Region
Дніпро,2010,2,0.2,4.6,-2.2,4.2,0.2,15.0,Winter,East
Дніпро,2010,12,-0.5,10.6,-9.7,4.5,59.2,9.0,Winter,East
Запоріжжя,2010,2,0.5,5.6,-2.1,4.1,0.0,2.0,Winter,East
Запоріжжя,2010,12,0.3,11.7,-9.3,3.9,49.0,18.0,Winter,East
Ізюм,2010,2,0.3,4.3,-3.1,2.0,0.2,2.0,Winter,East
Ізюм,2010,12,-0.3,11.4,-11.2,2.1,78.4,11.0,Winter,East
Маріуполь,2010,2,0.4,3.4,-1.8,7.8,0.0,0.0,Winter,East
Маріуполь,2010,12,1.6,10.3,-7.7,4.3,74.7,7.0,Winter,East
Харків,2010,2,-0.6,4.1,-2.6,4.2,0.301,6.0,Winter,East
Харків,2010,12,-1.7,10.8,-14.6,4.1,64.8,7.0,Winter,East
Донецьк,2010,2,-0.1,4.4,-3.4,5.6,0.001,5.0,Winter,East
Донецьк,2010,12,0.0,10.4,-8.5,4.4,77.9,17.0,Winter,East
Луганськ,2010,2,0.5,6.6,-3.0,3.3,0.001,0.0,Winter,East
Луганськ,2010,12,1.1,20.2,-9.0,2.2,60.4,10.0,Winter,East
Дніпро,2011,2,-7.3,4.8,-19.5,5.7,55.9,23.0,Winter,East
Дніпро,2011,12,1.6,12.2,-5.6,4.3,45.2,1.0,Winter,East
Запоріжжя,2011,1,-5.5,2.3,-21.7,2.5,28.4,27.0,Winter,East
Запоріжжя,2011,2,-7.0,5.3,-19.4,4.9,17.0,18.0,Winter,East
Запоріжжя,2011,12,2.0,11.9,-6.5,4.1,38.7,2.0,Winter,East
Ізюм,2011,2,-9.2,4.8,-26.6,2.9,30.6,27.0,Winter,East
Ізюм,2011,12,1.7,9.9,-5.9,2.7,41.9,1.0,Winter,East
Маріуполь,2011,1,-3.7,4.8,-13.0,4.3,37.7,6.0,Winter,East
Маріуполь,2011,2,-5.4,5.4,-15.2,7.2,25.3,7.0,Winter,East
Маріуполь,2011,12,2.1,7.3,-5.0,4.5,67.7,6.0,Winter,East
