City,Year,Month,Average Temperature (celsius),Max Temperature (celsius),Min Temperature (celsius),Average Wind Speed (m/s),Total Precipitation (mm),Max Snow Depth (cm),Season,Region
Житомир,2010,9,13.7,24.4,4.4,1.2,64.8,0.0,Autumn,North
Житомир,2010,10,5.6,12.6,-2.7,1.5,39.1,0.0,Autumn,North
Житомир,2010,11,7.4,21.4,-9.8,2.2,87.1,4.0,Autumn,North
Київ,2010,9,14.9,25.6,6.7,1.7,50.6,0.0,Autumn,North
Київ,2010,10,6.2,13.0,-1.2,2.2,44.9,0.0,Autumn,North
Київ,2010,11,7.9,21.2,-9.8,2.9,71.8,4.0,Autumn,North
Конотоп,2010,9,14.1,26.2,3.4,1.8,56.3,0.0,Autumn,North
Конотоп,2010,10,5.3,14.0,-4.6,2.0,28.3,0.0,Autumn,North
Конотоп,2010,11,6.9,17.5,-14.6,2.6,71.4,10.0,Autumn,North
Миронівка,2010,9,15.1,27.5,5.6,2.2,32.5,0.0,Autumn,North
Миронівка,2010,10,6.1,15.6,-3.0,2.3,28.4,0.0,Autumn,North
Миронівка,2010,11,8.7,19.9,-8.0,3.2,62.0,8.0,Autumn,North
Суми,2010,9,14.1,27.9,3.2,3.1,69.1,0.0,Autumn,North
Суми,2010,10,4.8,12.4,-3.0,3.6,42.6,0.0,Autumn,North
Суми,2010,11,6.6,17.5,-12.6,4.3,56.8,7.0,Autumn,North
Чернігів,2010,9,13.8,25.2,4.7,2.0,77.0,0.0,Autumn,North
Чернігів,2010,10,5.3,14.0,-3.0,2.6,35.1,0.0,Autumn,North
Чернігів,2010,11,6.2,18.1,-14.0,3.0,103.0,19.0,Autumn,North
Житомир,2011,9,15.0,26.6,3.8,1.2,21.2,0.0,Autumn,North
Житомир,2011,10,6.8,22.8,-3.9,1.1,28.6,0.0,Autumn,North
Житомир,2011,11,2.2,11.8,-6.4,1.5,2.8,0.0,Autumn,North
Київ,2011,9,15.7,26.0,7.5,2.0,18.8,0.0,Autumn,North
Київ,2011,10,7.6,22.9,-1.0,2.0,78.8,0.0,Autumn,North
Київ,2011,11,2.4,11.3,-5.8,2.6,3.0,0.8,Autumn,North
Конотоп,2011,9,14.0,25.2,5.3,1.2,13.2,0.0,Autumn,North
Конотоп,2011,10,6.4,23.1,-5.1,1.5,45.7,0.0,Autumn,North
Конотоп,2011,11,1.5,10.4,-9.2,2.0,7.1,1.0,Autumn,North
Миронівка,2011,9,15.3,28.1,3.8,1.9,24.5,0.0,Autumn,North
Миронівка,2011,10,7.4,23.9,-3.4,2.1,76.3,0.0,Autumn,North
Миронівка,2011,11,2.1,10.7,-6.3,2.4,3.6,0.0,Autumn,North
Суми,2011,9,14.2,26.3,5.5,2.7,13.8,0.0,Autumn,North
Суми,2011,10,6.6,23.3,-5.3,2.6,23.4,0.0,Autumn,North
Суми,2011,11,0.3,8.8,-12.0,3.3,8.3,1.0,Autumn,North
Чернігів,2011,9,13.8,24.8,4.1,2.2,12.6,0.0,Autumn,North
Чернігів,2011,10,6.6,21.7,-3.2,2.2,59.1,0.0,Autumn,North
Чернігів,2011,11,1.7,10.5,-7.4,2.8,6.3,0.7,Autumn,North
Білопілля,2012,9,15.4,27.2,4.8,1.5,48.8,0.0,Autumn,North
Білопілля,2012,10,9.4,25.2,-1.2,1.8,155.3,1.0,Autumn,North
Білопілля,2012,11,4.3,14.5,-1.8,1.8,80.8,0.0,Autumn,North
Житомир,2012,9,15.5,26.0,4.6,1.1,31.1,0.0,Autumn,North
Житомир,2012,10,9.2,24.6,-1.7,1.4,84.0,2.0,Autumn,North
Житомир,2012,11,4.9,14.6,-1.5,2.1,49.3,0.0,Autumn,North
Київ,2012,9,16.2,26.7,7.1,2.2,33.1,0.0,Autumn,North
Київ,2012,10,10.0,24.5,-1.1,2.4,50.6,0.0,Autumn,North
Київ,2012,11,4.7,14.6,-4.1,2.5,35.9,0.0,Autumn,North
Конотоп,2012,9,15.2,27.3,4.3,1.3,16.2,0.0,Autumn,North
Конотоп,2012,10,9.2,23.9,-3.7,1.9,49.3,10.0,Autumn,North
Конотоп,2012,11,3.7,12.4,-5.4,2.0,33.3,1.0,Autumn,North
Миронівка,2012,9,16.7,27.9,5.0,1.9,41.0,0.0,Autumn,North
Миронівка,2012,10,10.5,25.3,-1.7,2.3,45.0,0.0,Autumn,North
Миронівка,2012,11,4.6,14.6,-6.8,2.5,26.6,0.0,Autumn,North
Ніжин,2012,9,14.6,27.0,5.6,1.6,61.3,0.0,Autumn,North
Ніжин,2012,10,9.2,24.0,-2.0,2.1,76.1,0.0,Autumn,North
Ніжин,2012,11,4.1,13.2,-7.2,2.7,70.2,0.0,Autumn,North
Звягель,2012,9,15.2,26.8,5.5,1.2,24.2,0.0,Autumn,North
Звягель,2012,10,8.8,23.5,-0.8,1.6,211.7,0.7,Autumn,North
Звягель,2012,11,4.8,13.7,-0.9,1.5,62.4,0.0,Autumn,North
Овруч,2012,9,14.0,26.8,3.7,0.9,34.6,0.0,Autumn,North
Овруч,2012,10,8.3,24.2,-3.8,1.2,156.6,3.0,Autumn,North
Овруч,2012,11,4.6,16.6,-1.3,1.7,79.5,0.0,Autumn,North
Олевськ,2012,9,14.0,26.0,3.0,2.0,87.3,0.0,Autumn,North
Олевськ,2012,10,8.3,23.6,-3.0,2.1,201.3,0.0,Autumn,North
Олевськ,2012,11,4.8,14.8,-0.6,2.5,72.2,0.0,Autumn,North
Прилуки,2012,9,14.9,26.7,4.9,1.3,50.2,0.0,Autumn,North
Прилуки,2012,10,9.7,24.1,-0.9,1.9,119.2,5.0,Autumn,North
Прилуки,2012,11,3.9,14.0,-5.3,2.2,79.4,0.0,Autumn,North
Ромни,2012,9,15.2,27.2,6.2,1.1,68.5,0.0,Autumn,North
Ромни,2012,10,9.5,23.5,-2.6,1.5,193.4,3.0,Autumn,North
Ромни,2012,11,3.5,12.5,-5.4,1.2,61.3,0.0,Autumn,North
Семенівка,2012,9,14.1,26.2,4.4,1.9,71.2,0.0,Autumn,North
Семенівка,2012,10,8.3,24.1,-2.4,2.7,128.1,0.0,Autumn,North
Семенівка,2012,11,3.2,13.0,-6.5,3.0,94.8,0.7,Autumn,North
Суми,2012,9,15.0,26.7,4.4,2.8,39.7,0.0,Autumn,North
Суми,2012,10,9.2,22.4,-3.2,3.5,94.2,1.0,Autumn,North
