City,Year,Month,Average Temperature (celsius),Max Temperature (celsius),Min Temperature (celsius),Average Wind Speed (m/s),Total Precipitation (mm),Max Snow Depth (cm),Season,Region
Житомир,2010,3,1.8,16.6,-10.5,2.0,14.9,20.0,Spring,North
Житомир,2010,4,10.0,22.0,0.5,1.7,19.5,0.0,Spring,North
Житомир,2010,5,16.4,24.7,5.4,1.6,87.9,0.0,Spring,North
Київ,2010,4,10.3,21.4,1.3,2.3,40.3,0.0,Spring,North
Київ,2010,5,17.3,26.8,8.2,2.1,54.3,0.0,Spring,North
Конотоп,2010,4,9.7,18.7,-0.1,2.0,24.2,0.0,Spring,North
Конотоп,2010,5,17.8,27.2,6.7,1.9,60.1,0.0,Spring,North
Миронівка,2010,3,0.7,16.1,-15.0,2.7,22.3,25.0,Spring,North
Миронівка,2010,4,9.9,20.0,0.4,2.5,22.1,0.0,Spring,North
Миронівка,2010,5,17.0,25.8,7.3,2.2,72.7,0.0,Spring,North
Суми,2010,4,9.4,18.7,-0.6,3.4,23.6,1.0,Spring,North
Суми,2010,5,17.2,26.8,7.2,3.3,43.6,0.0,Spring,North
Чернігів,2010,4,9.4,20.4,1.0,2.5,24.0,0.0,Spring,North
Чернігів,2010,5,17.1,26.2,6.1,2.7,61.4,0.0,Spring,North
Житомир,2011,3,1.3,16.0,-16.2,1.8,9.2,16.0,Spring,North
Житомир,2011,4,9.5,21.8,0.4,1.7,29.4,0.0,Spring,North
Житомир,2011,5,15.6,29.2,2.3,1.1,32.6,0.0,Spring,North
Київ,2011,3,1.6,15.7,-10.2,2.9,6.4,11.0,Spring,North
Київ,2011,4,10.2,23.6,0.6,2.7,23.2,0.0,Spring,North
Київ,2011,5,16.8,30.7,3.4,2.4,27.5,0.0,Spring,North
Конотоп,2011,3,-1.2,11.7,-18.9,2.0,8.7,23.0,Spring,North
Конотоп,2011,4,8.8,24.1,-0.2,2.2,24.2,0.0,Spring,North
Конотоп,2011,5,16.5,29.7,2.7,1.6,27.3,0.0,Spring,North
Миронівка,2011,3,1.4,15.4,-15.7,2.9,5.7,5.0,Spring,North
Миронівка,2011,4,9.7,23.1,-0.2,2.8,16.6,0.0,Spring,North
Миронівка,2011,5,16.4,30.1,1.5,2.2,23.3,0.0,Spring,North
Суми,2011,3,-1.9,11.3,-19.1,3.6,4.5,13.0,Spring,North
Суми,2011,4,8.0,23.1,-2.1,3.6,32.3,0.0,Spring,North
Суми,2011,5,16.7,29.5,3.8,2.6,18.2,0.0,Spring,North
Чернігів,2011,3,-0.5,11.9,-17.5,2.9,12.4,10.0,Spring,North
Чернігів,2011,4,9.1,22.9,-0.9,2.9,26.3,0.0,Spring,North
Чернігів,2011,5,16.0,29.0,1.7,2.6,35.5,0.0,Spring,North
Житомир,2012,3,2.8,18.6,-13.4,2.0,26.8,22.0,Spring,North
