City,Year,Month,Average Temperature (celsius),Max Temperature (celsius),Min Temperature (celsius),Average Wind Speed (m/s),Total Precipitation (mm),Max Snow Depth (cm),Season,Region
Житомир,2010,6,20.2,31.8,8.0,1.5,80.6,0.0,Summer,North
Житомир,2010,7,22.7,33.6,13.2,1.0,85.7,0.0,Summer,North
Житомир,2010,8,22.0,35.8,8.8,1.2,39.0,0.0,Summer,North
Київ,2010,6,22.0,33.2,12.0,2.4,26.0,0.0,Summer,North
Київ,2010,7,24.5,34.1,16.0,1.8,100.5,0.0,Summer,North
Київ,2010,8,24.6,37.9,10.0,2.1,24.9,0.0,Summer,North
Конотоп,2010,6,21.7,33.3,8.4,2.3,70.8,0.0,Summer,North
Конотоп,2010,7,24.8,34.7,15.4,1.6,78.5,0.0,Summer,North
Конотоп,2010,8,23.8,38.3,8.5,1.6,19.4,0.0,Summer,North
Миронівка,2010,6,21.6,32.3,10.0,2.2,62.1,0.0,Summer,North
Миронівка,2010,7,23.8,35.0,14.1,1.7,51.1,0.0,Summer,North
Миронівка,2010,8,24.3,38.5,10.0,2.0,13.4,0.0,Summer,North
Суми,2010,6,21.5,33.4,7.9,3.6,13.0,0.0,Summer,North
Суми,2010,7,24.8,35.6,16.5,2.5,106.1,0.0,Summer,North
Суми,2010,8,24.2,38.7,7.3,3.2,32.7,0.0,Summer,North
Чернігів,2010,8,23.2,37.4,9.0,2.4,37.7,0.0,Summer,North
Житомир,2011,6,19.9,30.0,11.2,1.1,100.5,0.0,Summer,North
Житомир,2011,7,20.7,31.0,10.2,1.2,135.2,0.0,Summer,North
Житомир,2011,8,18.8,28.0,9.3,1.2,52.1,0.0,Summer,North
Київ,2011,6,21.1,31.9,12.7,2.6,133.0,0.0,Summer,North
Київ,2011,7,21.7,32.0,9.9,1.6,152.2,0.0,Summer,North
Київ,2011,8,19.3,28.9,11.6,2.2,51.3,0.0,Summer,North
Конотоп,2011,6,20.4,31.8,10.4,1.8,92.7,0.0,Summer,North
Конотоп,2011,7,22.3,32.1,13.3,1.6,81.8,0.0,Summer,North
Конотоп,2011,8,18.9,29.7,9.2,1.6,43.1,0.0,Summer,North
Миронівка,2011,6,20.4,31.9,10.9,2.4,155.3,0.0,Summer,North
Миронівка,2011,7,21.8,32.0,10.3,1.7,165.8,0.0,Summer,North
Миронівка,2011,8,19.0,29.3,10.4,2.4,67.3,0.0,Summer,North
Суми,2011,6,20.0,30.8,9.7,2.9,87.2,0.0,Summer,North
Суми,2011,7,22.2,33.1,14.6,2.7,108.8,0.0,Summer,North
Суми,2011,8,19.0,31.8,8.7,2.8,26.8,0.0,Summer,North
Чернігів,2011,6,20.3,32.0,11.9,2.7,101.7,0.0,Summer,North
Чернігів,2011,7,21.4,32.2,9.8,1.8,161.0,0.0,Summer,North
Чернігів,2011,8,18.5,29.0,10.1,2.5,96.9,0.0,Summer,North
Білопілля,2012,8,15.5,15.5,15.5,1.0,0.0,0.0,Summer,North
Житомир,2012,6,19.3,31.4,8.5,1.4,110.5,0.0,Summer,North
Житомир,2012,7,22.1,34.2,11.4,1.1,67.2,0.0,Summer,North
Житомир,2012,8,19.7,42.4,8.4,1.1,82.5,0.0,Summer,North
Київ,2012,6,20.0,31.3,10.3,2.4,89.5,0.0,Summer,North
Київ,2012,7,23.7,34.6,14.2,2.3,36.0,0.0,Summer,North
Київ,2012,8,20.5,36.6,10.3,2.6,115.6,0.0,Summer,North
Конотоп,2012,6,19.2,29.7,6.3,1.7,45.8,0.0,Summer,North
Конотоп,2012,7,22.6,32.7,11.6,1.6,36.0,0.0,Summer,North
Конотоп,2012,8,19.8,35.6,6.1,1.6,86.7,0.0,Summer,North
Миронівка,2012,6,20.7,34.0,10.2,2.2,72.2,0.0,Summer,North
Миронівка,2012,7,23.3,35.2,12.3,2.3,53.8,0.0,Summer,North
Миронівка,2012,8,20.4,36.7,7.8,2.2,69.6,0.0,Summer,North
Ніжин,2012,8,12.1,12.1,12.1,0.0,0.0,0.0,Summer,North
Звягель,2012,8,16.0,16.0,16.0,0.0,0.0,0.0,Summer,North
Овруч,2012,8,13.8,13.8,13.8,0.0,0.0,0.0,Summer,North
Ромни,2012,8,13.9,13.9,13.9,1.0,0.0,0.0,Summer,North
Семенівка,2012,8,12.6,12.6,12.6,0.0,0.0,0.0,Summer,North
Суми,2012,6,19.3,30.5,6.8,3.2,40.2,0.0,Summer,North
Суми,2012,7,22.5,32.6,11.2,2.8,71.9,0.0,Summer,North
Суми,2012,8,19.7,36.0,5.8,3.0,65.6,0.0,Summer,North
Чернігів,2012,7,22.3,34.1,11.7,2.1,41.9,0.0,Summer,North
Чернігів,2012,8,19.3,35.1,6.0,2.9,120.4,0.0,Summer,North
Чорнобиль,2012,8,12.4,12.4,12.4,0.0,0.0,0.0,Summer,North
Білопілля,2013,6,19.2,21.7,16.1,1.5,2.0,0.0,Summer,North
Білопілля,2013,7,19.3,29.0,10.4,1.9,54.8,0.0,Summer,North
Білопілля,2013,8,18.4,30.4,6.8,1.2,55.0,0.0,Summer,North
Житомир,2013,6,21.1,21.8,19.6,0.7,4.0,0.0,Summer,North
