City,Year,Month,Average Temperature (celsius),Max Temperature (celsius),Min Temperature (celsius),Average Wind Speed (m/s),Total Precipitation (mm),Max Snow Depth (cm),Season,Region
Житомир,2010,2,0.6,3.0,-2.2,2.9,0.0,18.0,Winter,North
Житомир,2010,12,-4.4,7.2,-14.3,1.6,51.7,14.0,Winter,North
Київ,2010,12,-4.1,6.2,-14.2,2.5,57.3,15.0,Winter,North
Конотоп,2010,12,-4.2,7.5,-19.6,2.4,79.5,16.0,Winter,North
Миронівка,2010,2,0.4,5.5,-3.0,2.3,0.0,23.0,Winter,North
Миронівка,2010,12,-3.7,9.1,-15.2,2.8,73.8,15.0,Winter,North
Суми,2010,12,-3.7,9.6,-18.1,4.1,81.6,10.0,Winter,North
Чернігів,2010,12,-5.3,4.3,-20.2,2.7,68.3,19.0,Winter,North
Житомир,2011,1,-2.1,4.2,-12.2,1.8,18.1,9.0,Winter,North
Житомир,2011,2,-5.8,10.4,-18.4,2.4,36.3,25.0,Winter,North
Житомир,2011,12,2.0,12.4,-8.2,1.9,25.1,4.0,Winter,North
Київ,2011,1,-2.3,11.5,-13.4,2.6,21.3,11.0,Winter,North
Київ,2011,2,-6.2,9.9,-17.1,3.1,31.8,18.0,Winter,North
Київ,2011,12,2.2,11.7,-9.5,3.0,29.1,0.8,Winter,North
Конотоп,2011,2,-8.7,4.4,-19.8,2.9,42.1,27.0,Winter,North
Конотоп,2011,12,1.2,8.6,-9.5,2.7,61.4,8.0,Winter,North
Миронівка,2011,1,-2.9,2.8,-13.1,2.5,22.4,10.0,Winter,North
Миронівка,2011,2,-5.9,10.3,-16.0,3.4,18.8,6.0,Winter,North
Миронівка,2011,12,2.2,10.1,-9.9,3.0,37.6,1.0,Winter,North
Суми,2011,2,-9.6,3.8,-21.6,4.9,15.1,25.0,Winter,North
Суми,2011,12,0.8,8.9,-8.6,4.5,64.3,6.0,Winter,North
Чернігів,2011,1,-3.7,2.6,-15.7,2.6,29.4,12.0,Winter,North
Чернігів,2011,2,-7.9,7.2,-18.5,3.7,38.2,13.0,Winter,North
Чернігів,2011,12,1.3,10.1,-10.9,3.6,25.1,4.0,Winter,North
Житомир,2012,1,-4.0,5.3,-19.6,1.6,31.4,14.0,Winter,North
Конотоп,2012,1,-4.7,5.5,-20.7,2.7,63.2,13.0,Winter,North
Конотоп,2012,2,-11.2,2.8,-28.1,2.1,30.8,23.0,Winter,North
Конотоп,2012,12,-5.6,6.3,-20.8,3.2,60.2,16.0,Winter,North
Миронівка,2012,1,-4.5,5.9,-23.6,2.6,57.1,26.0,Winter,North
Миронівка,2012,12,-4.8,5.9,-19.0,2.4,112.0,23.0,Winter,North
Семенівка,2012,12,-6.1,8.0,-20.2,3.2,92.5,14.0,Winter,North
Суми,2012,1,-5.0,5.6,-19.7,4.3,70.6,10.0,Winter,North
Суми,2012,2,-11.2,1.6,-27.2,3.6,19.2,13.0,Winter,North
