City,Year,Month,Average Temperature (celsius),Max Temperature (celsius),Min Temperature (celsius),Average Wind Speed (m/s),Total Precipitation (mm),Max Snow Depth (cm),Season,Region
Керч,2010,9,20.2,32.9,10.9,5.0,23.2,0.0,Autumn,South
Керч,2010,10,10.6,21.4,3.0,4.8,55.8,0.0,Autumn,South
Керч,2010,11,11.5,22.5,2.3,4.0,52.7,0.0,Autumn,South
Любашівка,2010,10,6.8,16.0,-2.8,2.8,44.1,0.0,Autumn,South
Любашівка,2010,11,9.4,20.8,-5.1,3.2,35.5,0.0,Autumn,South
Одеса,2010,9,17.9,25.3,10.8,3.1,106.1,0.0,Autumn,South
Одеса,2010,10,9.7,17.6,0.5,3.8,81.3,0.0,Autumn,South
Одеса,2010,11,11.9,22.1,1.4,3.1,30.1,0.0,Autumn,South
Сімферополь,2010,9,18.6,29.0,9.2,4.6,21.5,0.0,Autumn,South
Сімферополь,2010,10,9.1,24.1,-1.0,4.6,87.0,0.0,Autumn,South
Сімферополь,2010,11,12.3,26.8,1.4,4.0,34.9,0.0,Autumn,South
Херсон,2010,9,17.7,28.0,6.8,2.5,157.1,0.0,Autumn,South
Херсон,2010,10,7.8,19.3,-2.1,2.2,136.2,0.0,Autumn,South
Херсон,2010,11,10.5,21.1,-1.2,2.5,43.0,0.0,Autumn,South
Чернівці,2010,9,13.6,23.6,7.0,2.7,90.8,0.0,Autumn,South
Чернівці,2010,10,6.0,13.8,-2.6,2.8,41.4,0.0,Autumn,South
Чернівці,2010,11,7.8,21.1,-7.1,2.5,17.4,2.0,Autumn,South
Чорноморське,2010,9,19.1,27.9,10.0,4.3,30.1,0.0,Autumn,South
Чорноморське,2010,10,10.1,19.6,0.6,4.6,116.1,0.0,Autumn,South
Чорноморське,2010,11,12.7,20.4,3.5,4.0,42.1,0.0,Autumn,South
Керч,2011,9,19.1,29.2,8.0,4.5,18.0,0.0,Autumn,South
Керч,2011,10,11.7,25.3,0.6,4.7,53.7,0.0,Autumn,South
Керч,2011,11,2.2,10.6,-7.1,4.1,14.0,8.0,Autumn,South
Любашівка,2011,9,17.2,30.0,6.0,2.0,10.8,0.0,Autumn,South
Любашівка,2011,10,8.0,24.9,-3.4,2.6,45.4,0.0,Autumn,South
Любашівка,2011,11,1.9,11.0,-5.7,2.3,1.2,0.7,Autumn,South
Одеса,2011,9,19.0,29.9,9.6,1.9,31.3,0.0,Autumn,South
Одеса,2011,10,10.5,26.7,0.5,2.5,8.7,0.0,Autumn,South
Одеса,2011,11,4.2,12.0,-2.1,2.4,0.1,0.0,Autumn,South
Сімферополь,2011,9,18.2,30.9,7.8,4.1,21.7,0.0,Autumn,South
Сімферополь,2011,10,10.3,25.3,-2.4,4.6,68.5,0.0,Autumn,South
Сімферополь,2011,11,2.3,10.7,-6.5,3.7,5.9,0.7,Autumn,South
Херсон,2011,9,18.4,30.8,6.4,2.0,17.0,0.0,Autumn,South
Херсон,2011,10,9.5,26.3,-3.0,2.6,6.9,0.0,Autumn,South
Херсон,2011,11,2.2,17.0,-12.2,1.8,0.7,0.0,Autumn,South
Чернівці,2011,9,16.9,29.8,6.1,2.2,21.6,0.0,Autumn,South
Чернівці,2011,10,7.7,25.8,-2.8,2.8,21.9,0.0,Autumn,South
Чернівці,2011,11,2.7,11.6,-4.9,2.6,1.7,0.0,Autumn,South
Чорноморське,2011,9,19.1,28.2,8.4,3.4,8.0,0.0,Autumn,South
Чорноморське,2011,10,11.3,24.7,-2.7,4.7,39.8,0.0,Autumn,South
Чорноморське,2011,11,4.0,11.1,-8.1,3.5,5.1,0.0,Autumn,South
Асканія Нова,2012,9,18.8,29.3,8.8,2.9,3.4,0.0,Autumn,South
Асканія Нова,2012,10,14.5,26.7,4.4,3.8,24.8,0.0,Autumn,South
Асканія Нова,2012,11,6.5,17.3,-2.6,3.4,16.6,0.0,Autumn,South
Велика Олександрівка,2012,9,18.4,30.2,8.1,0.9,33.1,0.0,Autumn,South
Велика Олександрівка,2012,10,13.8,26.1,2.6,1.6,55.0,0.0,Autumn,South
Велика Олександрівка,2012,11,5.9,17.2,-1.8,1.3,18.2,0.0,Autumn,South
Вознесенськ,2012,9,18.8,30.7,8.6,1.0,23.4,0.0,Autumn,South
Вознесенськ,2012,10,13.4,27.2,2.9,1.5,133.3,0.0,Autumn,South
Вознесенськ,2012,11,6.5,17.4,-0.8,1.5,51.8,0.0,Autumn,South
Генічеськ,2012,9,19.6,29.1,12.7,2.4,2.4,0.0,Autumn,South
Генічеськ,2012,10,15.6,25.4,6.2,3.8,18.0,0.0,Autumn,South
Генічеськ,2012,11,7.7,16.6,-1.1,3.7,19.3,0.0,Autumn,South
Ізмаїл,2012,9,18.8,29.7,10.0,2.3,13.8,0.0,Autumn,South
Ізмаїл,2012,10,14.5,27.8,5.2,2.4,87.7,0.0,Autumn,South
Ізмаїл,2012,11,7.2,20.6,-1.4,2.0,28.8,0.0,Autumn,South
Керч,2012,9,20.3,30.2,11.8,4.0,1.4,0.0,Autumn,South
Керч,2012,10,16.5,25.5,3.7,3.8,0.8,0.0,Autumn,South
Керч,2012,11,8.9,20.0,-0.4,4.4,14.8,0.0,Autumn,South
Кирилівка,2012,9,17.0,27.6,7.6,0.9,22.0,0.0,Autumn,South
Кирилівка,2012,10,12.9,23.6,1.4,1.5,18.8,0.0,Autumn,South
Кирилівка,2012,11,4.5,15.7,-4.4,1.4,17.2,0.0,Autumn,South
Клепиніне,2012,9,19.6,31.0,7.0,2.2,5.2,0.0,Autumn,South
Клепиніне,2012,10,15.7,29.8,3.6,2.7,5.2,0.0,Autumn,South
Клепиніне,2012,11,8.0,20.8,-2.8,2.5,38.0,0.0,Autumn,South
Любашівка,2012,9,18.0,29.6,7.0,2.0,55.7,0.0,Autumn,South
Любашівка,2012,10,11.7,25.3,1.6,2.5,59.4,0.0,Autumn,South
Любашівка,2012,11,4.9,16.7,-2.8,2.7,26.4,0.0,Autumn,South
Миколаїв,2012,9,19.0,29.5,10.6,3.0,54.0,0.0,Autumn,South
Миколаїв,2012,10,14.0,27.0,4.9,4.1,77.0,0.0,Autumn,South
Миколаїв,2012,11,6.3,17.4,-2.5,3.6,20.8,0.0,Autumn,South
Нова Каховка,2012,9,19.7,28.3,12.5,2.5,6.8,0.0,Autumn,South
Нова Каховка,2012,10,15.1,26.4,3.6,2.8,71.6,0.0,Autumn,South
Нова Каховка,2012,11,7.1,17.2,-2.1,2.4,14.0,0.0,Autumn,South
Одеса,2012,9,19.6,27.1,11.6,2.2,3.0,0.0,Autumn,South
Одеса,2012,11,7.9,16.1,-1.3,3.0,32.1,0.0,Autumn,South
Селятин,2012,9,12.9,27.8,-8.0,0.7,92.3,0.0,Autumn,South
