City,Year,Month,Average Temperature (celsius),Max Temperature (celsius),Min Temperature (celsius),Average Wind Speed (m/s),Total Precipitation (mm),Max Snow Depth (cm),Season,Region
Керч,2010,3,4.4,15.6,-6.4,4.7,15.4,3.0,Spring,South
Керч,2010,4,10.1,19.5,1.7,4.1,15.3,0.0,Spring,South
Керч,2010,5,17.1,27.3,8.1,3.7,54.6,0.0,Spring,South
Любашівка,2010,3,2.0,18.1,-13.7,2.7,29.9,20.0,Spring,South
Любашівка,2010,4,9.7,20.1,1.2,3.0,50.9,0.0,Spring,South
Любашівка,2010,5,16.8,25.3,8.0,2.9,110.7,0.0,Spring,South
Одеса,2010,3,3.9,19.8,-5.1,3.1,18.5,8.0,Spring,South
Одеса,2010,4,10.3,17.6,4.2,2.8,49.0,0.0,Spring,South
Одеса,2010,5,16.7,24.2,10.1,2.4,69.6,0.0,Spring,South
Сімферополь,2010,3,4.6,18.3,-6.2,5.2,35.4,4.0,Spring,South
Сімферополь,2010,4,9.8,24.4,0.0,4.7,13.8,0.0,Spring,South
Сімферополь,2010,5,16.3,27.5,6.3,4.0,16.5,0.0,Spring,South
Херсон,2010,3,3.4,19.1,-8.8,2.6,14.6,5.0,Spring,South
Херсон,2010,4,10.7,20.7,1.3,1.9,11.0,0.0,Spring,South
Херсон,2010,5,17.6,27.3,7.3,1.1,61.3,0.0,Spring,South
Чернівці,2010,3,3.6,19.5,-11.0,3.0,35.3,10.0,Spring,South
Чернівці,2010,4,10.1,22.7,0.8,3.4,28.8,0.0,Spring,South
Чернівці,2010,5,15.8,26.0,9.2,2.8,125.8,0.0,Spring,South
Чорноморське,2010,3,5.0,13.5,-3.7,4.6,11.6,2.0,Spring,South
Чорноморське,2010,4,10.2,18.9,2.2,3.6,11.1,0.0,Spring,South
Чорноморське,2010,5,16.5,25.7,7.3,3.2,28.4,0.0,Spring,South
Керч,2011,3,3.0,16.8,-8.8,5.7,8.8,4.0,Spring,South
Керч,2011,4,8.7,18.8,-0.4,5.4,54.7,0.0,Spring,South
Керч,2011,5,15.4,26.4,4.9,4.0,10.0,0.0,Spring,South
Любашівка,2011,3,2.0,17.8,-13.5,3.4,16.4,13.0,Spring,South
Любашівка,2011,4,9.6,22.5,0.4,3.7,43.5,0.0,Spring,South
Любашівка,2011,5,16.5,29.6,1.2,2.8,19.4,0.0,Spring,South
Одеса,2011,3,3.3,17.3,-8.9,3.4,5.2,7.0,Spring,South
Одеса,2011,4,9.8,20.8,0.7,2.9,46.3,0.0,Spring,South
Одеса,2011,5,16.3,26.0,6.0,2.2,12.1,0.0,Spring,South
Сімферополь,2011,3,3.1,18.7,-9.2,5.8,8.5,3.0,Spring,South
Сімферополь,2011,4,8.5,21.0,-1.0,5.7,58.9,0.0,Spring,South
Сімферополь,2011,5,14.8,26.2,1.9,3.8,45.1,0.0,Spring,South
Херсон,2011,3,2.5,17.6,-12.3,3.9,3.1,2.0,Spring,South
Херсон,2011,4,9.7,22.5,-0.5,3.3,39.9,0.0,Spring,South
Херсон,2011,5,16.9,30.6,2.7,2.0,35.8,0.0,Spring,South
Чернівці,2011,3,2.4,18.8,-12.5,3.1,30.1,15.0,Spring,South
Чернівці,2011,4,9.8,22.6,1.2,4.0,38.6,0.0,Spring,South
Чернівці,2011,5,15.6,28.6,3.8,3.0,12.6,0.0,Spring,South
Чорноморське,2011,3,3.3,16.4,-9.4,4.7,29.6,0.8,Spring,South
Чорноморське,2011,4,9.0,21.4,1.8,4.6,41.7,0.0,Spring,South
Чорноморське,2011,5,14.9,25.5,3.0,2.4,54.0,0.0,Spring,South
Асканія Нова,2012,3,1.8,1.8,1.8,6.0,1.4,0.0,Spring,South
Велика Олександрівка,2012,3,2.0,2.0,2.0,2.0,1.4,0.0,Spring,South
Вознесенськ,2012,3,2.8,2.8,2.8,2.0,0.0,0.0,Spring,South
Генічеськ,2012,3,5.2,5.2,5.2,0.0,4.0,0.0,Spring,South
Ізмаїл,2012,3,7.2,7.2,7.2,4.0,0.0,0.0,Spring,South
Керч,2012,3,2.3,14.6,-8.4,5.4,18.5,11.0,Spring,South
Керч,2012,4,12.4,27.2,2.4,4.3,21.6,0.0,Spring,South
Керч,2012,5,18.9,29.0,10.1,3.3,45.0,0.0,Spring,South
Кирилівка,2012,3,0.2,0.2,0.2,1.0,0.0,0.0,Spring,South
Клепиніне,2012,3,4.5,4.5,4.5,3.0,8.0,0.0,Spring,South
Любашівка,2012,3,3.0,21.2,-8.2,3.2,20.7,17.0,Spring,South
Любашівка,2012,4,12.4,30.1,-1.2,3.1,50.1,0.0,Spring,South
Любашівка,2012,5,19.0,30.7,8.5,3.3,27.7,0.0,Spring,South
Миколаїв,2012,3,3.1,3.1,3.1,6.0,0.0,0.0,Spring,South
Нова Каховка,2012,3,2.2,2.2,2.2,5.0,2.0,0.0,Spring,South
Одеса,2012,3,4.8,20.3,-5.6,2.4,29.5,8.0,Spring,South
Одеса,2012,4,10.9,27.8,0.8,2.3,11.2,0.0,Spring,South
Одеса,2012,5,19.5,29.2,10.6,2.3,72.8,0.0,Spring,South
Селятин,2012,3,3.1,3.1,3.1,6.0,1.6,0.8,Spring,South
Сімферополь,2012,3,2.6,19.1,-8.5,4.4,29.3,10.0,Spring,South
Сімферополь,2012,4,13.5,28.4,0.1,4.8,15.3,0.0,Spring,South
Сімферополь,2012,5,18.6,30.2,9.7,3.8,38.0,0.0,Spring,South
Феодосія,2012,3,7.0,7.0,7.0,3.0,8.0,0.0,Spring,South
Херсон,2012,3,2.6,19.5,-8.0,3.1,24.9,7.0,Spring,South
Херсон,2012,4,13.2,31.5,-0.3,2.6,6.4,0.0,Spring,South
Херсон,2012,5,20.8,33.6,10.1,2.4,40.7,0.0,Spring,South
Чернівці,2012,3,4.8,22.6,-9.3,4.3,28.4,11.0,Spring,South
Чернівці,2012,4,11.4,29.0,-1.3,3.0,93.5,3.0,Spring,South
Чернівці,2012,5,16.4,29.3,6.2,2.4,64.0,0.0,Spring,South
Чорноморське,2012,3,3.6,15.6,-5.6,4.4,14.1,0.0,Spring,South
Чорноморське,2012,4,11.9,26.7,0.0,5.0,17.8,0.0,Spring,South
Чорноморське,2012,5,18.4,29.8,11.6,3.0,42.3,0.0,Spring,South
Ялта,2012,3,8.2,8.2,8.2,1.0,4.0,0.0,Spring,South
Керч,2013,3,5.1,14.9,-6.1,5.0,39.9,0.0,Spring,South
Керч,2013,4,10.9,24.9,1.6,4.7,2.6,0.0,Spring,South
Керч,2013,5,19.8,29.3,10.8,3.9,27.4,0.0,Spring,South
Любашівка,2013,3,1.3,18.4,-10.1,4.3,26.2,6.0,Spring,South
Любашівка,2013,4,11.5,28.4,-1.8,3.6,22.2,0.0,Spring,South
Любашівка,2013,5,19.1,28.4,9.4,2.4,62.7,0.0,Spring,South
Одеса,2013,3,3.1,12.1,-7.8,3.3,18.8,6.0,Spring,South
Одеса,2013,4,11.3,25.6,3.2,3.0,8.4,0.0,Spring,South
Одеса,2013,5,19.1,24.9,13.5,2.5,2.0,0.0,Spring,South
Сімферополь,2013,3,5.3,26.6,-6.7,5.1,47.6,4.0,Spring,South
Сімферополь,2013,4,11.5,27.6,2.2,5.1,26.4,0.0,Spring,South
Сімферополь,2013,5,19.1,32.7,9.3,4.3,2.1,0.0,Spring,South
Херсон,2013,3,3.1,18.5,-8.4,3.5,39.0,5.0,Spring,South
Херсон,2013,4,12.0,27.9,1.7,3.0,3.3,0.0,Spring,South
Херсон,2013,5,20.7,30.7,8.3,2.1,0.3,0.0,Spring,South
Чернівці,2013,3,-0.4,11.0,-11.8,4.0,61.5,16.0,Spring,South
Чернівці,2013,4,11.0,30.8,-0.9,3.0,42.0,4.0,Spring,South
Чернівці,2013,5,17.0,28.4,8.1,3.1,117.1,0.0,Spring,South
Чорноморське,2013,3,5.1,18.6,-3.6,5.6,44.0,7.0,Spring,South
Чорноморське,2013,4,11.3,21.8,3.2,4.8,11.4,0.0,Spring,South
Чорноморське,2013,5,18.6,30.2,8.4,3.7,0.8,0.0,Spring,South
Алушта,2014,5,20.0,26.9,14.0,1.8,8.4,0.0,Spring,South
Асканія Нова,2014,3,6.6,19.6,-3.2,5.1,18.3,0.0,Spring,South
Асканія Нова,2014,4,10.3,23.1,-5.4,3.8,9.8,0.0,Spring,South
Асканія Нова,2014,5,17.7,31.6,3.0,3.4,15.3,0.0,Spring,South
Велика Олександрівка,2014,3,7.4,22.3,-3.0,2.7,15.4,0.0,Spring,South
Велика Олександрівка,2014,4,11.0,23.0,-5.4,1.6,40.7,0.0,Spring,South
Велика Олександрівка,2014,5,18.2,31.5,3.0,1.5,54.4,0.0,Spring,South
Вознесенськ,2014,3,8.2,20.1,-2.4,2.5,9.4,0.0,Spring,South
Вознесенськ,2014,4,11.9,23.7,-4.6,1.9,24.9,0.0,Spring,South
Вознесенськ,2014,5,17.5,32.4,2.0,1.3,103.2,0.0,Spring,South
Генічеськ,2014,3,5.3,16.4,-3.4,4.9,25.5,0.0,Spring,South
Генічеськ,2014,4,10.7,21.0,-1.6,3.7,17.1,0.0,Spring,South
Генічеськ,2014,5,18.3,28.3,6.0,3.4,30.4,0.0,Spring,South
Гурзуф,2014,5,19.3,26.5,14.0,1.6,18.0,0.0,Spring,South
Євпаторія,2014,5,19.9,27.0,13.0,3.4,4.7,0.0,Spring,South
Ізмаїл,2014,3,8.5,20.1,0.7,3.5,20.6,0.0,Spring,South
Ізмаїл,2014,4,11.6,23.1,1.8,2.8,61.2,0.0,Spring,South
Ізмаїл,2014,5,16.3,29.3,2.0,2.3,70.3,0.0,Spring,South
