City,Year,Month,Average Temperature (celsius),Max Temperature (celsius),Min Temperature (celsius),Average Wind Speed (m/s),Total Precipitation (mm),Max Snow Depth (cm),Season,Region
Керч,2010,6,22.9,32.1,16.1,3.8,77.0,0.0,Summer,South
Керч,2010,7,25.5,34.4,18.1,3.7,18.5,0.0,Summer,South
Керч,2010,8,26.6,35.5,16.3,4.1,0.8,0.0,Summer,South
Любашівка,2010,6,20.5,33.0,11.1,2.5,82.8,0.0,Summer,South
Любашівка,2010,7,23.2,33.0,14.2,2.2,32.5,0.0,Summer,South
Любашівка,2010,8,24.5,36.4,9.8,2.7,30.0,0.0,Summer,South
Одеса,2010,6,22.0,30.2,14.6,2.4,49.1,0.0,Summer,South
Одеса,2010,7,24.4,32.2,17.9,1.9,54.2,0.0,Summer,South
Одеса,2010,8,26.0,36.8,11.6,2.2,35.4,0.0,Summer,South
Сімферополь,2010,6,21.9,33.8,13.0,4.1,101.4,0.0,Summer,South
Сімферополь,2010,7,23.9,36.2,16.7,3.6,98.3,0.0,Summer,South
Сімферополь,2010,8,25.8,38.8,11.7,4.0,2.1,0.0,Summer,South
Херсон,2010,6,22.5,34.8,14.0,1.9,69.5,0.0,Summer,South
Херсон,2010,7,24.7,35.2,15.2,1.8,44.9,0.0,Summer,South
Херсон,2010,8,26.1,40.5,11.9,2.1,44.0,0.0,Summer,South
Чернівці,2010,6,18.6,30.9,10.4,3.1,222.5,0.0,Summer,South
Чернівці,2010,7,21.4,31.2,12.9,2.7,72.9,0.0,Summer,South
Чернівці,2010,8,21.6,32.2,9.5,2.5,45.0,0.0,Summer,South
Чорноморське,2010,6,22.2,28.8,14.8,3.6,87.3,0.0,Summer,South
Чорноморське,2010,7,24.8,31.6,12.7,2.9,53.6,0.0,Summer,South
Чорноморське,2010,8,26.2,38.6,14.4,3.2,0.0,0.0,Summer,South
Керч,2011,6,21.3,30.0,12.6,3.9,33.3,0.0,Summer,South
Керч,2011,7,25.4,34.0,13.4,3.8,0.3,0.0,Summer,South
Керч,2011,8,23.6,32.9,15.1,4.2,31.8,0.0,Summer,South
Любашівка,2011,6,20.0,32.1,11.7,2.4,184.3,0.0,Summer,South
Любашівка,2011,7,22.4,33.0,9.8,1.8,29.8,0.0,Summer,South
Любашівка,2011,8,20.1,30.2,10.5,2.7,35.6,0.0,Summer,South
Одеса,2011,6,20.8,29.8,12.8,2.2,101.6,0.0,Summer,South
Одеса,2011,7,23.4,33.4,14.0,1.8,30.0,0.0,Summer,South
Одеса,2011,8,22.4,31.8,15.0,2.0,18.0,0.0,Summer,South
Сімферополь,2011,6,20.0,29.4,11.5,3.7,77.0,0.0,Summer,South
Сімферополь,2011,7,24.1,36.6,12.0,4.0,0.1,0.0,Summer,South
Сімферополь,2011,8,22.0,33.5,10.6,4.1,15.0,0.0,Summer,South
Херсон,2011,6,21.3,32.1,12.0,1.9,79.7,0.0,Summer,South
Херсон,2011,7,24.7,36.7,13.4,2.1,2.4,0.0,Summer,South
Херсон,2011,8,22.3,34.0,11.5,2.5,5.7,0.0,Summer,South
Чернівці,2011,6,19.2,31.2,10.3,3.5,116.4,0.0,Summer,South
Чернівці,2011,7,20.7,32.5,8.6,2.3,95.1,0.0,Summer,South
Чернівці,2011,8,19.8,29.3,10.5,2.7,27.0,0.0,Summer,South
Чорноморське,2011,6,20.8,27.4,12.8,2.9,27.8,0.0,Summer,South
Чорноморське,2011,7,23.5,31.1,14.6,3.3,34.4,0.0,Summer,South
Чорноморське,2011,8,22.3,31.4,13.2,3.6,0.0,0.0,Summer,South
Асканія Нова,2012,8,18.7,18.7,18.7,4.0,0.0,0.0,Summer,South
Велика Олександрівка,2012,8,16.2,16.2,16.2,0.0,0.0,0.0,Summer,South
Вознесенськ,2012,8,19.0,19.0,19.0,1.0,0.0,0.0,Summer,South
Генічеськ,2012,8,19.9,19.9,19.9,2.0,0.0,0.0,Summer,South
Ізмаїл,2012,8,18.7,18.7,18.7,1.0,0.0,0.0,Summer,South
Керч,2012,6,23.1,32.7,13.2,3.8,37.6,0.0,Summer,South
Керч,2012,7,25.5,33.3,14.3,4.5,8.2,0.0,Summer,South
Керч,2012,8,24.5,34.2,10.3,4.2,13.6,0.0,Summer,South
Кирилівка,2012,8,14.2,14.2,14.2,1.0,0.0,0.0,Summer,South
Клепиніне,2012,8,17.6,17.6,17.6,1.0,0.0,0.0,Summer,South
Любашівка,2012,6,22.3,35.4,10.8,2.5,14.3,0.0,Summer,South
Любашівка,2012,7,24.9,35.2,14.0,3.0,27.7,0.0,Summer,South
Любашівка,2012,8,22.2,37.6,10.5,2.7,20.3,0.0,Summer,South
Миколаїв,2012,8,18.1,18.1,18.1,2.0,0.0,0.0,Summer,South
Нова Каховка,2012,8,19.7,19.7,19.7,3.0,0.0,0.0,Summer,South
Одеса,2012,6,22.3,33.1,13.3,2.2,28.9,0.0,Summer,South
Одеса,2012,7,25.6,34.1,11.4,2.2,66.8,0.0,Summer,South
Одеса,2012,8,24.0,35.4,12.6,2.4,45.1,0.0,Summer,South
Селятин,2012,8,18.7,18.7,18.7,1.0,0.0,0.0,Summer,South
Сімферополь,2012,6,22.5,34.9,11.5,3.8,3.5,0.0,Summer,South
Сімферополь,2012,7,25.3,36.0,14.3,4.9,27.6,0.0,Summer,South
Сімферополь,2012,8,23.2,35.5,12.4,4.0,62.0,0.0,Summer,South
Феодосія,2012,8,18.7,18.7,18.7,1.0,0.0,0.0,Summer,South
Херсон,2012,6,23.3,35.1,11.0,2.4,20.0,0.0,Summer,South
Херсон,2012,7,26.5,37.4,13.7,2.7,65.0,0.0,Summer,South
Херсон,2012,8,23.7,37.1,11.1,2.9,72.6,0.0,Summer,South
Чернівці,2012,6,20.6,32.7,10.1,2.5,77.0,0.0,Summer,South
Чернівці,2012,7,23.2,34.4,13.4,2.7,51.8,0.0,Summer,South
Чернівці,2012,8,21.0,36.2,9.1,3.1,48.1,0.0,Summer,South
Чорноморське,2012,6,22.2,31.0,13.3,3.4,113.7,0.0,Summer,South
Чорноморське,2012,7,25.3,35.5,15.8,3.8,3.0,0.0,Summer,South
Чорноморське,2012,8,23.7,31.4,13.8,4.1,43.7,0.0,Summer,South
Ялта,2012,8,20.5,20.5,20.5,1.0,0.0,0.0,Summer,South
Асканія Нова,2013,6,25.5,28.9,22.3,4.0,1.0,0.0,Summer,South
Асканія Нова,2013,7,23.6,34.5,13.1,2.7,88.0,0.0,Summer,South
Асканія Нова,2013,8,24.4,35.7,13.1,3.2,20.0,0.0,Summer,South
Велика Олександрівка,2013,6,25.9,28.9,20.4,2.3,4.0,0.0,Summer,South
Велика Олександрівка,2013,7,22.7,31.8,11.9,1.3,87.0,0.0,Summer,South
Велика Олександрівка,2013,8,23.5,35.9,13.3,1.6,13.6,0.0,Summer,South
