City,Year,Month,Average Temperature (celsius),Max Temperature (celsius),Min Temperature (celsius),Average Wind Speed (m/s),Total Precipitation (mm),Max Snow Depth (cm),Season,Region
Керч,2010,2,3.2,8.7,-0.2,5.2,0.0,0.0,Winter,South
Керч,2010,12,6.1,16.5,-4.0,4.6,79.0,1.0,Winter,South
Любашівка,2010,2,0.5,6.3,-2.7,2.4,0.001,6.0,Winter,South
Любашівка,2010,12,-2.9,11.2,-13.7,3.3,67.3,22.0,Winter,South
Одеса,2010,2,1.6,5.3,-1.1,3.9,0.0,0.0,Winter,South
Одеса,2010,12,1.5,12.2,-9.0,3.3,57.1,11.0,Winter,South
Сімферополь,2010,2,4.2,13.3,-1.3,6.6,1.5,0.0,Winter,South
Сімферополь,2010,12,5.4,20.5,-4.2,4.7,70.2,8.0,Winter,South
Херсон,2010,2,2.0,9.2,-1.5,3.2,0.0,2.0,Winter,South
Херсон,2010,12,1.6,14.6,-10.5,3.2,68.9,11.0,Winter,South
Чернівці,2010,2,1.6,5.2,-0.8,2.7,0.3,17.0,Winter,South
Чернівці,2010,12,-4.5,10.8,-14.5,2.7,67.7,16.0,Winter,South
Чорноморське,2010,2,3.7,10.8,-1.0,5.6,0.0,0.0,Winter,South
Чорноморське,2010,12,6.1,17.2,-5.1,5.3,98.5,1.0,Winter,South
Керч,2011,1,0.2,9.0,-7.5,3.8,27.9,3.0,Winter,South
Керч,2011,2,-1.4,9.6,-11.2,6.4,15.3,4.0,Winter,South
Керч,2011,12,5.2,14.3,-3.3,4.4,55.7,0.0,Winter,South
Любашівка,2011,1,-2.9,7.5,-15.8,2.6,47.3,13.0,Winter,South
Любашівка,2011,2,-4.8,12.2,-14.8,4.1,23.2,13.0,Winter,South
Любашівка,2011,12,2.2,11.2,-9.8,2.9,42.3,4.0,Winter,South
Одеса,2011,2,-2.3,11.6,-11.0,4.5,11.7,15.0,Winter,South
Одеса,2011,12,4.5,13.6,-5.2,2.5,63.3,1.0,Winter,South
Сімферополь,2011,1,-0.5,8.8,-10.3,4.2,37.6,8.0,Winter,South
Сімферополь,2011,2,-1.7,9.0,-12.4,6.8,11.0,4.0,Winter,South
Сімферополь,2011,12,5.2,16.4,-5.6,4.4,42.2,6.0,Winter,South
Херсон,2011,1,-2.7,5.8,-19.7,2.5,23.5,15.0,Winter,South
Херсон,2011,2,-3.8,10.4,-14.3,4.2,11.0,10.0,Winter,South
Херсон,2011,12,3.8,13.5,-7.3,2.3,46.3,0.0,Winter,South
Чернівці,2011,1,-2.5,8.0,-19.0,2.1,18.4,11.0,Winter,South
Чернівці,2011,2,-2.7,13.8,-14.0,3.8,34.7,18.0,Winter,South
Чернівці,2011,12,1.4,16.3,-11.4,2.2,20.2,6.0,Winter,South
Чорноморське,2011,1,0.6,20.1,-10.0,3.6,31.8,9.0,Winter,South
Чорноморське,2011,2,-0.6,10.5,-9.6,6.6,3.7,3.0,Winter,South
Чорноморське,2011,12,6.4,13.2,-2.2,4.4,21.1,0.7,Winter,South
Асканія Нова,2012,12,0.0,14.5,-18.5,7.8,46.0,6.0,Winter,South
Велика Олександрівка,2012,12,-1.0,14.9,-20.9,2.8,88.7,18.0,Winter,South
Вознесенськ,2012,12,-1.7,12.7,-17.5,2.4,151.6,7.0,Winter,South
Генічеськ,2012,12,1.6,13.4,-15.1,8.0,55.2,6.0,Winter,South
Ізмаїл,2012,12,-0.1,13.3,-12.0,3.5,204.5,7.0,Winter,South
Керч,2012,1,0.4,11.0,-13.0,5.3,61.3,15.0,Winter,South
