City,Year,Month,Average Temperature (celsius),Max Temperature (celsius),Min Temperature (celsius),Average Wind Speed (m/s),Total Precipitation (mm),Max Snow Depth (cm),Season,Region
Володимир,2010,9,12.2,22.3,2.1,1.9,111.1,0.0,Autumn,West
Володимир,2010,10,5.2,16.6,-3.8,2.3,25.1,0.0,Autumn,West
Володимир,2010,11,6.5,18.5,-13.6,2.4,53.1,10.0,Autumn,West
Івано-Франківськ,2010,9,12.5,21.9,3.8,2.2,64.6,0.0,Autumn,West
Івано-Франківськ,2010,10,5.1,14.5,-6.1,2.1,34.3,0.0,Autumn,West
Івано-Франківськ,2010,11,6.8,21.6,-9.3,2.6,10.5,0.8,Autumn,West
Львів,2010,9,12.3,21.5,3.4,2.3,65.0,0.0,Autumn,West
Львів,2010,10,5.5,16.9,-4.4,2.3,26.1,0.0,Autumn,West
Львів,2010,11,7.0,20.6,-10.6,2.9,41.9,2.0,Autumn,West
Рівне,2010,9,12.6,24.5,3.1,3.2,64.5,0.0,Autumn,West
Рівне,2010,10,4.9,14.5,-3.9,3.6,36.3,0.0,Autumn,West
Рівне,2010,11,6.3,19.1,-13.0,4.7,40.2,10.0,Autumn,West
Сарни,2010,9,12.9,24.6,1.8,1.0,96.8,0.0,Autumn,West
Сарни,2010,10,5.4,16.2,-4.1,1.1,24.1,0.0,Autumn,West
Сарни,2010,11,6.1,18.9,-12.2,1.5,65.3,13.0,Autumn,West
Тернопіль,2010,9,12.3,22.6,3.8,3.6,77.8,0.0,Autumn,West
Тернопіль,2010,10,4.9,13.8,-5.2,3.6,35.8,0.0,Autumn,West
Тернопіль,2010,11,6.4,19.8,-10.6,3.8,29.1,3.0,Autumn,West
Ужгород,2010,9,14.1,24.2,6.0,1.9,88.1,0.0,Autumn,West
Ужгород,2010,10,7.2,19.4,-3.9,1.5,24.8,0.0,Autumn,West
Ужгород,2010,11,8.4,18.8,-5.3,2.4,82.2,3.0,Autumn,West
Хмельницький,2010,9,12.9,23.0,5.7,3.1,60.8,0.0,Autumn,West
Хмельницький,2010,10,5.0,12.1,-2.8,3.6,48.8,0.0,Autumn,West
Хмельницький,2010,11,6.9,18.8,-10.8,4.0,36.0,4.0,Autumn,West
Шепетівка,2010,9,12.9,24.2,4.5,2.4,87.8,0.0,Autumn,West
Шепетівка,2010,10,5.1,13.0,-3.4,2.6,39.2,0.0,Autumn,West
Шепетівка,2010,11,6.5,20.7,-12.5,3.7,53.9,11.0,Autumn,West
Володимир,2011,9,14.7,27.8,1.0,1.4,11.1,0.0,Autumn,West
Володимир,2011,10,7.3,21.8,-3.2,1.8,27.3,0.0,Autumn,West
Володимир,2011,11,2.1,12.6,-7.4,1.9,1.7,0.7,Autumn,West
Івано-Франківськ,2011,9,15.8,29.8,2.7,1.9,15.4,0.0,Autumn,West
Івано-Франківськ,2011,10,7.2,25.1,-6.5,2.4,23.9,0.0,Autumn,West
Івано-Франківськ,2011,11,1.3,12.2,-8.3,1.5,2.5,0.0,Autumn,West
Львів,2011,9,15.2,28.5,3.8,2.3,18.4,0.0,Autumn,West
Львів,2011,10,7.5,21.9,-1.9,3.3,23.0,0.0,Autumn,West
Львів,2011,11,2.2,14.2,-6.5,3.1,0.8,1.0,Autumn,West
Рівне,2011,9,15.2,29.5,3.5,3.2,8.3,0.0,Autumn,West
Рівне,2011,10,6.8,22.9,-3.4,3.4,17.0,0.0,Autumn,West
Рівне,2011,11,1.6,12.0,-7.9,3.5,5.1,0.0,Autumn,West
Сарни,2011,9,14.6,28.0,2.3,2.2,12.3,0.0,Autumn,West
Сарни,2011,10,6.7,23.1,-4.7,2.0,23.8,0.0,Autumn,West
Сарни,2011,11,2.3,12.3,-9.0,2.4,5.0,0.8,Autumn,West
Тернопіль,2011,9,15.0,28.9,3.6,3.1,9.4,0.0,Autumn,West
Тернопіль,2011,10,6.9,23.5,-5.1,3.6,15.6,0.0,Autumn,West
Тернопіль,2011,11,1.6,10.6,-7.1,3.3,2.6,1.0,Autumn,West
Ужгород,2011,9,18.1,29.9,5.3,1.8,40.0,0.0,Autumn,West
Ужгород,2011,10,9.2,25.0,-3.7,1.9,23.2,0.0,Autumn,West
Ужгород,2011,11,1.3,16.5,-7.3,1.0,4.5,0.7,Autumn,West
Хмельницький,2011,9,15.6,27.6,6.5,3.1,15.2,0.0,Autumn,West
Хмельницький,2011,10,7.1,23.4,-3.2,3.6,28.4,0.0,Autumn,West
Хмельницький,2011,11,1.8,11.6,-5.8,3.7,4.3,0.7,Autumn,West
Шепетівка,2011,9,15.2,28.4,3.8,1.8,10.7,0.0,Autumn,West
Шепетівка,2011,10,7.0,24.4,-3.4,2.3,18.9,0.0,Autumn,West
Шепетівка,2011,11,1.7,13.0,-7.0,2.5,4.0,0.0,Autumn,West
Берегове,2012,9,18.2,31.6,5.8,0.2,73.8,0.0,Autumn,West
Берегове,2012,10,11.4,28.0,1.8,0.3,67.0,0.0,Autumn,West
Берегове,2012,11,7.5,16.8,-3.0,0.3,73.8,0.0,Autumn,West
Бережани,2012,9,15.1,28.4,4.7,1.3,126.5,0.0,Autumn,West
Бережани,2012,10,9.2,23.5,-1.7,1.9,106.6,1.0,Autumn,West
Бережани,2012,11,4.6,17.3,-4.9,2.2,43.9,0.0,Autumn,West
Броди,2012,9,15.3,27.4,2.7,1.8,172.3,0.0,Autumn,West
Броди,2012,10,9.0,23.4,-1.1,2.2,165.6,0.0,Autumn,West
Броди,2012,11,5.7,16.5,-3.1,2.1,34.4,0.0,Autumn,West
Володимир,2012,9,15.1,28.4,0.3,1.5,32.2,0.0,Autumn,West
Володимир,2012,10,8.4,21.3,-1.5,1.9,64.0,1.0,Autumn,West
Володимир,2012,11,5.1,15.1,-2.8,1.9,22.2,0.0,Autumn,West
Дрогобич,2012,9,14.9,28.0,3.8,1.9,104.1,0.0,Autumn,West
Дрогобич,2012,10,9.0,23.8,-0.5,1.9,81.9,0.0,Autumn,West
Дрогобич,2012,11,5.6,17.0,-5.0,1.7,54.2,0.0,Autumn,West
Дружба,2012,9,13.8,26.2,2.3,1.3,32.9,0.0,Autumn,West
Дружба,2012,10,8.1,24.6,-4.5,1.7,139.8,9.0,Autumn,West
Дружба,2012,11,2.8,11.6,-5.1,2.0,77.2,5.0,Autumn,West
Івано-Франківськ,2012,9,15.2,29.1,6.0,1.9,66.3,0.0,Autumn,West
Івано-Франківськ,2012,10,9.2,24.2,-2.6,2.1,56.6,0.7,Autumn,West
Івано-Франківськ,2012,11,4.3,18.5,-5.1,2.4,27.8,0.0,Autumn,West
Кам’янець-Подільський,2012,9,16.5,28.2,5.8,2.0,21.2,0.0,Autumn,West
Кам’янець-Подільський,2012,10,10.2,26.6,-0.4,2.1,135.7,0.0,Autumn,West
Кам’янець-Подільський,2012,11,5.0,15.0,-1.6,2.5,40.6,0.0,Autumn,West
Ковель,2012,9,14.8,28.6,3.0,1.3,89.2,0.0,Autumn,West
Ковель,2012,10,8.0,23.4,-2.0,1.9,116.6,2.0,Autumn,West
Ковель,2012,11,5.1,14.8,-1.6,2.2,35.0,0.0,Autumn,West
Коломия,2012,9,15.0,29.4,6.0,1.4,113.7,0.0,Autumn,West
Коломия,2012,10,9.0,25.0,-2.5,1.3,50.7,0.0,Autumn,West
Коломия,2012,11,3.9,17.7,-5.2,1.5,54.0,0.0,Autumn,West
Крем’янець,2012,10,8.4,20.2,-0.8,3.1,176.5,0.0,Autumn,West
Крем’янець,2012,11,5.2,15.2,-2.2,3.3,62.6,0.0,Autumn,West
Луцьк,2012,9,15.1,27.3,3.5,2.1,169.9,0.0,Autumn,West
Луцьк,2012,10,8.5,21.8,-1.0,2.6,164.0,0.7,Autumn,West
Луцьк,2012,11,5.0,15.0,-1.4,2.8,63.6,0.0,Autumn,West
Львів,2012,9,15.0,27.5,2.4,2.7,40.6,0.0,Autumn,West
Львів,2012,10,8.9,22.9,-1.5,2.4,54.4,0.7,Autumn,West
Львів,2012,11,5.2,16.5,-3.8,2.7,26.8,0.0,Autumn,West
Нова Ушиця,2012,9,16.4,27.7,5.5,1.7,23.0,0.0,Autumn,West
Нова Ушиця,2012,10,9.8,26.8,-0.4,2.0,129.8,0.0,Autumn,West
Нова Ушиця,2012,11,4.4,15.0,-2.5,1.9,78.8,0.0,Autumn,West
Рава Руська,2012,9,14.9,27.4,4.8,2.2,74.2,0.0,Autumn,West
Рава Руська,2012,10,8.4,22.5,-1.2,2.2,155.2,0.7,Autumn,West
Рава Руська,2012,11,5.7,16.7,-2.6,2.5,44.1,0.0,Autumn,West
Рахів,2012,9,15.2,30.7,6.7,1.4,127.4,0.0,Autumn,West
Рахів,2012,10,9.7,24.2,0.2,1.2,161.6,0.0,Autumn,West
Рахів,2012,11,4.5,17.3,-4.7,1.1,147.4,0.0,Autumn,West
Рівне,2012,9,15.2,27.5,2.7,3.2,49.1,0.0,Autumn,West
Рівне,2012,10,8.5,23.0,-2.7,3.7,69.8,0.7,Autumn,West
Рівне,2012,11,4.5,14.7,-2.0,3.8,23.2,0.0,Autumn,West
Сарни,2012,9,14.9,27.1,2.6,2.3,67.4,0.0,Autumn,West
Сарни,2012,10,8.6,22.1,-3.4,2.5,54.8,1.0,Autumn,West
Сарни,2012,11,4.9,15.5,-0.5,2.9,28.0,0.0,Autumn,West
Славське,2012,9,12.7,27.1,2.2,0.6,136.8,0.0,Autumn,West
Славське,2012,10,7.5,22.8,-2.8,0.9,101.5,0.0,Autumn,West
Славське,2012,11,4.4,15.3,-6.6,1.1,151.2,0.0,Autumn,West
Тернопіль,2012,9,14.9,27.5,3.2,3.1,49.2,0.0,Autumn,West
Тернопіль,2012,10,8.9,22.9,-1.7,3.5,45.8,1.0,Autumn,West
Тернопіль,2012,11,4.0,15.8,-3.2,3.9,25.6,0.0,Autumn,West
Турка,2012,9,12.7,25.4,1.6,1.2,136.9,0.0,Autumn,West
Турка,2012,10,7.9,21.9,-2.3,1.5,104.8,0.8,Autumn,West
Турка,2012,11,5.4,14.2,-6.4,2.1,108.6,2.0,Autumn,West
Ужгород,2012,9,17.5,31.9,4.0,1.8,48.6,0.0,Autumn,West
Ужгород,2012,10,10.8,22.3,1.6,1.7,54.2,0.0,Autumn,West
Ужгород,2012,11,6.8,15.3,-3.9,1.9,38.9,0.0,Autumn,West
Хмельницький,2012,9,15.6,27.0,5.6,3.1,32.4,0.0,Autumn,West
Хмельницький,2012,10,9.1,23.7,-1.8,3.5,53.4,0.7,Autumn,West
Хмельницький,2012,11,4.0,13.3,-3.1,3.7,23.1,0.0,Autumn,West
Хуст,2012,9,17.0,31.0,5.5,0.8,147.6,0.0,Autumn,West
Хуст,2012,10,10.7,24.3,2.2,0.7,113.0,0.0,Autumn,West
Хуст,2012,11,5.5,16.5,-3.0,0.8,122.0,0.0,Autumn,West
Чортків,2012,9,15.6,27.7,7.6,1.3,111.4,0.0,Autumn,West
Чортків,2012,10,9.5,24.5,-1.9,1.6,89.9,0.7,Autumn,West
Чортків,2012,11,4.3,15.4,-3.0,1.7,43.9,0.0,Autumn,West
