City,Year,Month,Average Temperature (celsius),Max Temperature (celsius),Min Temperature (celsius),Average Wind Speed (m/s),Total Precipitation (mm),Max Snow Depth (cm),Season,Region
Володимир,2010,3,2.9,18.8,-10.8,2.8,21.9,17.0,Spring,West
Володимир,2010,4,9.8,24.6,0.4,2.6,49.2,0.0,Spring,West
Володимир,2010,5,15.2,25.0,4.2,2.4,65.6,11.0,Spring,West
Івано-Франківськ,2010,3,3.0,18.5,-17.0,3.2,40.6,10.0,Spring,West
Івано-Франківськ,2010,4,9.5,24.1,-1.7,2.7,58.0,0.0,Spring,West
Івано-Франківськ,2010,5,15.3,26.6,7.0,2.3,160.3,0.0,Spring,West
Львів,2010,3,3.0,17.7,-12.3,3.0,31.1,9.0,Spring,West
Львів,2010,4,9.2,22.6,-1.0,2.3,39.7,0.0,Spring,West
Львів,2010,5,14.7,23.3,7.1,2.0,221.8,0.0,Spring,West
Рівне,2010,3,1.8,17.8,-11.3,4.0,34.8,12.0,Spring,West
Рівне,2010,4,9.2,23.0,-0.4,3.8,33.5,0.0,Spring,West
Рівне,2010,5,16.0,25.3,6.1,3.5,109.9,0.0,Spring,West
Сарни,2010,3,2.4,17.6,-8.8,1.6,19.0,4.0,Spring,West
Сарни,2010,4,9.5,23.8,0.4,1.2,14.9,0.0,Spring,West
Сарни,2010,5,16.2,26.7,3.4,1.3,74.3,0.0,Spring,West
Тернопіль,2010,3,1.8,16.4,-14.2,4.4,27.4,5.0,Spring,West
Тернопіль,2010,4,9.0,22.6,-2.0,4.1,40.3,0.0,Spring,West
Тернопіль,2010,5,15.3,23.9,6.6,3.9,115.1,0.0,Spring,West
Ужгород,2010,3,5.4,20.5,-8.6,2.4,31.9,11.0,Spring,West
Ужгород,2010,4,11.1,22.7,2.8,2.2,73.2,0.0,Spring,West
Ужгород,2010,5,15.9,25.1,8.7,2.3,169.2,0.0,Spring,West
Хмельницький,2010,3,1.6,16.0,-11.3,4.3,21.1,13.0,Spring,West
Хмельницький,2010,4,9.3,21.0,-0.2,4.0,33.3,0.0,Spring,West
Хмельницький,2010,5,15.4,23.7,7.8,3.7,89.6,0.0,Spring,West
Шепетівка,2010,3,1.3,16.4,-12.4,2.8,21.7,15.0,Spring,West
