City,Year,Month,Average Temperature (celsius),Max Temperature (celsius),Min Temperature (celsius),Average Wind Speed (m/s),Total Precipitation (mm),Max Snow Depth (cm),Season,Region
Володимир,2010,6,18.7,31.6,7.0,2.4,59.2,0.0,Summer,West
Володимир,2010,7,21.4,32.7,11.6,1.8,36.9,0.0,Summer,West
Володимир,2010,8,20.1,33.7,6.6,1.8,90.2,0.0,Summer,West
Івано-Франківськ,2010,6,17.9,32.8,7.5,2.6,169.3,0.0,Summer,West
Івано-Франківськ,2010,7,20.8,31.7,10.2,2.3,239.7,0.0,Summer,West
Івано-Франківськ,2010,8,20.1,32.5,5.4,1.9,92.4,0.0,Summer,West
Львів,2010,6,17.9,31.7,7.1,2.4,96.9,0.0,Summer,West
Львів,2010,7,20.5,30.7,11.2,1.7,78.3,0.0,Summer,West
Львів,2010,8,19.7,32.1,6.5,1.7,125.1,0.0,Summer,West
Рівне,2010,6,19.0,31.7,8.6,3.5,155.8,0.0,Summer,West
Рівне,2010,7,22.0,33.4,12.5,2.7,103.4,0.0,Summer,West
Рівне,2010,8,20.7,33.7,6.5,3.1,105.2,0.0,Summer,West
Сарни,2010,6,19.5,32.9,5.8,1.3,81.2,0.0,Summer,West
Сарни,2010,7,22.3,33.9,12.7,0.8,76.9,0.0,Summer,West
Сарни,2010,8,20.9,34.5,7.2,1.0,115.3,0.0,Summer,West
Тернопіль,2010,6,18.1,30.7,7.6,4.0,144.6,0.0,Summer,West
Тернопіль,2010,7,20.9,31.4,11.6,3.1,108.7,0.0,Summer,West
Тернопіль,2010,8,20.4,33.3,6.2,2.9,82.0,0.0,Summer,West
Ужгород,2010,6,19.3,32.6,7.6,2.6,131.6,0.0,Summer,West
Ужгород,2010,7,21.9,32.3,11.0,1.9,109.0,0.0,Summer,West
Ужгород,2010,8,21.0,32.7,10.3,1.7,104.2,0.0,Summer,West
Хмельницький,2010,6,18.4,30.6,9.0,3.7,212.2,0.0,Summer,West
Хмельницький,2010,7,21.4,31.6,11.9,2.8,46.4,0.0,Summer,West
Хмельницький,2010,8,21.1,33.4,7.8,3.2,79.0,0.0,Summer,West
Шепетівка,2010,6,18.9,31.5,7.8,2.7,84.4,0.0,Summer,West
Шепетівка,2010,7,21.7,32.8,11.5,1.7,145.8,0.0,Summer,West
Шепетівка,2010,8,20.8,33.2,6.9,2.0,85.6,0.0,Summer,West
Володимир,2011,6,18.6,30.6,10.0,2.1,101.6,0.0,Summer,West
Володимир,2011,7,19.3,32.2,10.7,1.7,210.5,0.0,Summer,West
Володимир,2011,8,18.8,28.4,8.3,1.6,107.8,0.0,Summer,West
Івано-Франківськ,2011,6,18.2,31.0,9.2,3.1,78.2,0.0,Summer,West
Івано-Франківськ,2011,7,19.6,32.8,6.8,2.3,80.3,0.0,Summer,West
Івано-Франківськ,2011,8,19.2,30.2,7.9,2.2,52.9,0.0,Summer,West
Львів,2011,6,18.2,29.5,8.6,2.5,67.5,0.0,Summer,West
Львів,2011,7,18.7,31.1,9.7,2.1,190.8,0.0,Summer,West
Львів,2011,8,18.9,28.6,7.9,2.1,46.0,0.0,Summer,West
Рівне,2011,6,19.0,30.7,9.8,3.7,72.7,0.0,Summer,West
Рівне,2011,7,20.3,33.5,10.1,3.1,90.4,0.0,Summer,West
Рівне,2011,8,18.9,29.3,8.4,2.8,40.7,0.0,Summer,West
Сарни,2011,6,19.7,30.6,10.2,2.6,42.6,0.0,Summer,West
Сарни,2011,7,20.5,32.7,11.2,1.9,101.7,0.0,Summer,West
Сарни,2011,8,18.7,28.8,8.1,2.0,77.8,0.0,Summer,West
Тернопіль,2011,6,18.1,28.9,9.7,4.2,84.2,0.0,Summer,West
Тернопіль,2011,7,19.4,32.6,9.1,3.3,98.3,0.0,Summer,West
Тернопіль,2011,8,18.6,28.1,7.9,3.4,12.7,0.0,Summer,West
Ужгород,2011,6,20.2,30.6,9.7,3.0,37.8,0.0,Summer,West
Ужгород,2011,7,20.2,32.6,10.6,2.2,155.5,0.0,Summer,West
Ужгород,2011,8,21.3,34.1,8.4,2.0,13.6,0.0,Summer,West
Хмельницький,2011,6,18.6,29.5,10.2,4.1,121.8,0.0,Summer,West
Хмельницький,2011,7,19.7,30.8,7.4,3.1,69.8,0.0,Summer,West
Хмельницький,2011,8,18.6,28.7,9.7,3.5,13.2,0.0,Summer,West
Шепетівка,2011,6,18.8,29.2,10.2,2.3,61.3,0.0,Summer,West
Шепетівка,2011,7,20.2,30.7,9.7,2.1,63.2,0.0,Summer,West
Шепетівка,2011,8,18.6,28.6,8.5,2.1,18.6,0.0,Summer,West
Бережани,2012,8,17.6,17.6,17.6,1.0,0.0,0.0,Summer,West
Броди,2012,8,17.5,17.5,17.5,2.0,0.0,0.0,Summer,West
Володимир,2012,6,17.7,30.6,7.0,1.7,172.7,0.0,Summer,West
Володимир,2012,7,21.5,33.8,8.9,1.3,37.3,0.0,Summer,West
Володимир,2012,8,18.9,35.4,5.6,1.8,116.0,0.0,Summer,West
Дрогобич,2012,8,17.9,17.9,17.9,0.0,0.0,0.0,Summer,West
Дружба,2012,8,12.5,12.5,12.5,0.0,0.0,0.0,Summer,West
Івано-Франківськ,2012,6,18.8,31.5,6.0,2.3,87.6,0.0,Summer,West
Івано-Франківськ,2012,7,21.3,34.0,9.8,2.2,102.8,0.0,Summer,West
Івано-Франківськ,2012,8,19.2,33.3,7.8,2.5,112.3,0.0,Summer,West
Кам’янець-Подільський,2012,8,18.8,18.8,18.8,1.0,0.0,0.0,Summer,West
Ковель,2012,8,16.5,16.5,16.5,1.0,0.0,0.0,Summer,West
Коломия,2012,8,18.1,18.1,18.1,2.0,0.0,0.0,Summer,West
Луцьк,2012,8,17.0,17.0,17.0,2.0,0.0,0.0,Summer,West
Львів,2012,6,18.0,31.2,7.2,3.0,91.0,0.0,Summer,West
Львів,2012,7,21.5,32.5,11.0,2.8,60.9,0.0,Summer,West
Львів,2012,8,18.8,34.3,7.1,2.6,77.2,0.0,Summer,West
Нова Ушиця,2012,8,19.4,19.4,19.4,1.0,0.0,0.0,Summer,West
Рава Руська,2012,8,21.1,23.4,18.8,2.5,0.0,0.0,Summer,West
Рівне,2012,6,18.1,31.0,7.2,3.3,87.3,0.0,Summer,West
Рівне,2012,7,22.1,34.3,10.0,2.7,99.6,0.0,Summer,West
Рівне,2012,8,19.2,34.8,5.5,3.2,118.6,0.0,Summer,West
Сарни,2012,6,17.9,32.2,3.0,2.4,149.4,0.0,Summer,West
Сарни,2012,7,22.2,34.4,9.4,1.8,63.0,0.0,Summer,West
Сарни,2012,8,19.1,34.7,7.0,2.2,165.4,0.0,Summer,West
Тернопіль,2012,6,18.3,30.5,7.7,3.3,139.5,0.0,Summer,West
Тернопіль,2012,7,21.4,33.3,12.0,3.2,77.2,0.0,Summer,West
Тернопіль,2012,8,18.9,33.4,7.1,3.6,74.7,0.0,Summer,West
Ужгород,2012,6,20.0,32.9,9.9,2.1,92.6,0.0,Summer,West
Ужгород,2012,7,22.8,34.7,10.1,1.8,102.2,0.0,Summer,West
Ужгород,2012,8,21.1,35.4,8.3,1.8,17.8,0.0,Summer,West
Хмельницький,2012,6,18.7,30.5,7.7,3.3,114.3,0.0,Summer,West
Хмельницький,2012,7,21.8,33.2,11.5,3.1,49.2,0.0,Summer,West
Хмельницький,2012,8,19.1,33.4,7.5,3.6,98.1,0.0,Summer,West
Чортків,2012,8,19.2,19.2,19.2,1.0,0.0,0.0,Summer,West
Шепетівка,2012,6,18.3,31.4,6.8,2.5,152.0,0.0,Summer,West
Шепетівка,2012,7,21.5,32.4,10.2,1.9,107.9,0.0,Summer,West
Шепетівка,2012,8,18.4,31.2,5.4,2.1,178.0,0.0,Summer,West
Бережани,2013,6,19.1,21.2,16.2,3.0,0.0,0.0,Summer,West
Броди,2013,6,19.3,21.4,15.3,2.7,0.0,0.0,Summer,West
Броди,2013,7,19.0,32.5,7.4,2.2,57.2,0.0,Summer,West
Володимир,2013,6,18.9,29.8,9.0,1.8,154.9,0.0,Summer,West
Володимир,2013,7,19.3,33.1,10.2,1.9,19.7,0.0,Summer,West
Володимир,2013,8,18.8,33.5,6.4,1.6,14.1,0.0,Summer,West
Дрогобич,2013,6,18.1,21.5,15.6,1.5,5.0,0.0,Summer,West
Дрогобич,2013,7,19.0,33.2,8.3,2.2,39.4,0.0,Summer,West
Дрогобич,2013,8,18.8,33.6,8.2,1.5,37.0,0.0,Summer,West
Дружба,2013,6,20.5,23.4,18.5,2.3,9.0,0.0,Summer,West
Дружба,2013,7,18.6,30.0,9.1,1.3,100.6,0.0,Summer,West
Дружба,2013,8,18.3,31.1,8.5,1.1,120.5,0.0,Summer,West
Івано-Франківськ,2013,6,18.8,29.8,10.0,2.1,83.9,0.0,Summer,West
Івано-Франківськ,2013,7,19.3,33.9,7.9,2.8,33.6,0.0,Summer,West
Івано-Франківськ,2013,8,18.9,32.6,3.9,2.1,54.8,0.0,Summer,West
Кам’янець-Подільський,2013,6,20.2,22.4,16.8,4.2,0.0,0.0,Summer,West
Кам’янець-Подільський,2013,7,19.7,32.0,8.4,2.0,34.5,0.0,Summer,West
Кам’янець-Подільський,2013,8,19.5,31.2,9.2,1.8,37.6,0.0,Summer,West
Ковель,2013,6,19.9,22.8,17.2,1.8,0.0,0.0,Summer,West
Ковель,2013,7,19.6,32.6,10.2,2.0,30.4,0.0,Summer,West
Ковель,2013,8,19.1,33.2,6.6,1.4,23.5,0.0,Summer,West
Коломия,2013,6,18.1,20.3,15.5,2.3,2.0,0.0,Summer,West
