City,Year,Month,Average Temperature (celsius),Max Temperature (celsius),Min Temperature (celsius),Average Wind Speed (m/s),Total Precipitation (mm),Max Snow Depth (cm),Season,Region
Володимир,2010,2,2.4,5.8,0.2,2.1,0.8,25.0,Winter,West
Володимир,2010,12,-4.2,5.8,-22.1,2.0,72.4,25.0,Winter,West
Івано-Франківськ,2010,2,1.4,4.4,-1.1,2.8,2.1,16.0,Winter,West
Івано-Франківськ,2010,12,-4.3,6.8,-14.4,2.0,39.2,13.0,Winter,West
Львів,2010,2,2.1,7.4,-0.9,2.4,2.6,10.0,Winter,West
Львів,2010,12,-3.7,10.0,-16.8,2.6,94.3,15.0,Winter,West
Рівне,2010,2,1.3,3.8,0.0,3.5,0.0,11.0,Winter,West
Рівне,2010,12,-4.7,5.2,-15.6,4.2,74.6,11.0,Winter,West
Сарни,2010,2,1.9,4.6,0.1,1.3,1.1,12.0,Winter,West
Сарни,2010,12,-4.5,5.5,-19.0,1.3,68.5,18.0,Winter,West
Тернопіль,2010,2,1.1,2.9,0.0,3.9,0.9,12.0,Winter,West
Тернопіль,2010,12,-5.0,4.4,-14.4,3.6,60.3,9.0,Winter,West
Ужгород,2010,2,6.2,9.6,2.3,2.1,2.8,0.0,Winter,West
Ужгород,2010,12,-0.8,11.9,-12.3,2.5,97.5,11.0,Winter,West
Хмельницький,2010,2,0.9,4.1,-1.4,4.5,0.101,19.0,Winter,West
Хмельницький,2010,12,-4.7,7.6,-12.3,3.9,68.5,16.0,Winter,West
Шепетівка,2010,2,1.1,4.7,-1.0,2.7,0.0,22.0,Winter,West
Шепетівка,2010,12,-4.5,6.6,-13.6,3.0,72.0,19.0,Winter,West
Володимир,2011,1,-1.6,6.3,-13.7,1.9,47.3,12.0,Winter,West
Володимир,2011,2,-4.3,8.6,-15.4,3.1,33.5,7.0,Winter,West
Володимир,2011,12,2.2,12.1,-4.6,2.1,42.4,1.0,Winter,West
Івано-Франківськ,2011,1,-2.4,8.0,-19.2,1.6,29.5,9.0,Winter,West
