                        City  Year  Month  Average Temperature (celsius)  Max Temperature (celsius)  Min Temperature (celsius)  Average Wind Speed (m/s)  Total Precipitation (mm)  Max Snow Depth (cm)  Total Precipitation (mm)_ZScore
4                    Вінниця  2010      6                           19.4                       30.5                        8.9                       3.7                    192.20                  0.0                         3.973700
47                 Запоріжжя  2010      5                           17.7                       28.7                        8.1                       2.9                    127.80                  3.0                         2.245885
58          Івано-Франківськ  2010      5                           15.3                       26.6                        7.0                       2.3                    160.30                  0.0                         3.117842
59          Івано-Франківськ  2010      6                           17.9                       32.8                        7.5                       2.6                    169.30                  0.0                         3.359306
60          Івано-Франківськ  2010      7                           20.8                       31.7                       10.2                       2.3                    239.70                  0.0                         5.248099
71                      Ізюм  2010      7                           24.5                       36.2                       15.3                       1.1                    176.50                  0.0                         3.552478
104            Кропивницький  2010      7                           23.8                       34.5                       13.1                       2.7                    146.40                  0.0                         2.744912
146                    Львів  2010      5                           14.7                       23.3                        7.1                       2.0                    221.80                  0.0                         4.767852
149                    Львів  2010      8                           19.7                       32.1                        6.5                       1.7                    125.10                  0.0                         2.173445
224                    Рівне  2010      6                           19.0                       31.7                        8.6                       3.5                    155.80                  0.0                         2.997109
279                Тернопіль  2010      6                           18.1                       30.7                        7.6                       4.0                    144.60                  0.0                         2.696619
289                  Ужгород  2010      5                           15.9                       25.1                        8.7                       2.3                    169.20                  0.0                         3.356623
290                  Ужгород  2010      6                           19.3                       32.6                        7.6                       2.6                    131.60                  0.0                         2.347837
301                    Умань  2010      6                           20.5                       32.9                        9.0                       1.2                    138.50                  0.0                         2.532960
315                   Харків  2010      9                           15.7                       31.6                        5.5                       3.6                    118.80                  0.0                         2.004420
326                   Херсон  2010      9                           17.7                       28.0                        6.8                       2.5                    157.10                  0.0                         3.031987
327                   Херсон  2010     10                            7.8                       19.3                       -2.1                       2.2                    136.20                  0.0                         2.471252
334             Хмельницький  2010      6                           18.4                       30.6                        9.0                       3.7                    212.20                  0.0                         4.510289
355                 Чернівці  2010      5                           15.8                       26.0                        9.2                       2.8                    125.80                  0.0                         2.192226
356                 Чернівці  2010      6                           18.6                       30.9                       10.4                       3.1                    222.50                  0.0                         4.786632
377                Шепетівка  2010      5                           15.9                       25.0                        5.3                       2.8                    156.70                  0.0                         3.021256
379                Шепетівка  2010      7                           21.7                       32.8                       11.5                       1.7                    145.80                  0.0                         2.728815
412                  Вінниця  2011      6                           19.2                       29.5                       10.6                       3.8                    141.60                  0.0                         2.616131
425                Володимир  2011      7                           19.3                       32.2                       10.7                       1.7                    210.50                  0.0                         4.464679
449                  Житомир  2011      7                           20.7                       31.0                       10.2                       1.2                    135.20                  0.0                         2.444423
